taskId,description,language,context,tenant_name,word_count
2571,3KNZADZ0vQb7RgI6qsiASf,,DE,,Playground,0
2576,9DKOXszO5sU8LIB9AuT94h,,EN,,Playground,0
940,2i3m2CsZ3Ih9ZIDxljIz5D,,EN,,Playground,0
941,83RtnoiP9cI5PXBFC9ktUr,,EN,,Playground,0
2668,a9raXwckJ517dHwaW5MK1y,,EN,,client_EN,0
942,aXvR1kf1HWF8aaJCuiXsug,,EN,,Playground,0
2683,7WQ9KOMyxueah7SOeju8OE,,EN,,demo_EN,0
949,40HbMnlEAsD8JTowHvKYl6,,DE,,Playground,0
950,a1d2Q3GOeRQ5yRmKtMbTwT,,EN,,Playground,0
298,2YIclWuCXmc7ybyvjGiD2B,,NaN,,connectsolutions_fr,0
951,61uTY2k8w056O7gCBmmpqT,,EN,,Playground,0
953,8XFHk1PODFUaKFlfjufTzA,,EN,,other_tenant,0
2740,9sG5mSz6jD15xGdc9UkD0u,,DE,,Playground,0
2741,4uPqL45laeF8t6UsypbpU3,,DE,,Playground,0
2771,9FAvhCYJFcI7htnktppIrJ,,DE,,Playground,0
972,7lCKrZWEhW7rZZWpHaJ81,,EN,,Playground,0
973,4nsjgmXHY6d6ZOfKR8Mrwz,,DE,,Playground,0
975,4iJrdah9lL46R1taUpKhst,,EN,,Playground,0
977,7dvBJb4NCyd8NJoUQbXefN,,EN,,client_EN,0
978,1cmumr3weZ49AiXSPjmFZU,,EN,,client_EN,0
979,7gDRHMUHRl15H9Pa3y5Wlp,,EN,,Playground,0
2798,1szJ6dgT68haEdDPc4IvzQ,,DE,,Playground,0
980,47JYdhCA9ROaEyM5VOIofM,,EN,,Playground,0
952,11SyzSzsHkl7MNmubHFHxS,,EN,,other_tenant,0
938,6aGjU5i8D3hayz1JmY5gUY,,EN,,Playground,0
936,a8R1oiX6zUZ7y2FYbj3mLq,,EN,,client_EN,0
2436,R0bmtNFeKb7dNMOxLliDw,,EN,,Playground,0
2444,6kMEw2CLT1NaCHsT7Q17Nw,,EN,,Playground,0
2468,2NTAitqv1ow6v7Mm8dUP4H,,EN,,demo,0
923,1JcXbGUfZzZ9GoDFTqgAxb,,EN,,Playground,0
924,9proT9JdAk4alQYp0gKYcW,,EN,,Playground,0
2492,9GPbcvC9bm29D28EKlx5cQ,,EN,,Playground,0
343,9lyyEbLbiFyaxhCSyWWJGH,,NaN,,Playground,0
342,i8pwUuAJchaXxFKNFOLrg,,NaN,,connectsolutions_fr,0
2496,1ORsjDFh4328x0ZyiffePt,,EN,,Playground,0
680,1exviPrklGl6Lb00iwZMNX,,NaN,,Playground,0
2522,71jLvutQa6b8t2WeFBmLoO,,EN,,Playground,0
2524,9Za7ABJJuuyafVJMxCpn4e,,EN,,Playground,0
937,4qesWiGziBY5U23B2FYVKB,,EN,,Playground,0
2529,3xoJV8Zs9jM94PpAJ7TiQY,,DE,,demo_DE,0
2532,3mFfr7VqETa8WhzglCyJEp,,EN,,Playground,0
2537,6jR7xJgHHJ67nrG7XcrBlt,,EN,,Playground,0
320,12BHodGWu7t78upgLclDaU,,NaN,,connectsolutions_fr,0
319,2ZTagWssFeS8mH4VfvzyWB,,NaN,,connectsolutions_fr,0
2538,yvvkPQoO9h6xmsE1vCBfd,,EN,,Playground,0
312,2Ld0AB9YsoF9RisXOSSjyg,,NaN,,connectsolutions_fr,0
310,1YWzm75YDjv9yobvGMNU54,,NaN,,connectsolutions_fr,0
308,aVkeUFNKRRf8Ytyuysh0hQ,,NaN,,Lernnavi,0
307,bidl69XI5M6lWZO4yfBRU,,NaN,,Lernnavi,0
935,9aDJPqTVuBR6riVj2RXu17,,EN,,client_EN,0
305,4TAPxQuy67B9EBSeEAwD12,,NaN,,Lernnavi,0
304,4k63wOnAMPM8r8rvm3EGUB,,NaN,,Lernnavi,0
2531,3BVSRhl512f6q1dMVSb9er,,EN,,Playground,0
2799,7pqsu5D8i8V6hl52taRm2K,,DE,,Playground,0
2129,7L7emAbUB5Y63TAnKrUFIy,,EN,,demo,0
868,8oTyhiwddFp74NvuZLfPwE,,EN,,Playground,0
619,6BytOP68VmWazx9bWhyuRl,,NaN,,Playground,0
617,8TR5M5hw1UoaqkdAIRSGBw,,NaN,,Playground,0
614,8HZ0shAn5sYa8EH69X6naM,,NaN,,Playground,0
613,6hvh7hyEYJt7uGAuUAfKmN,,NaN,,connectsolutions_fr,0
612,7vwf20Zdx4362pLns8eSKA,,NaN,,connectsolutions_it,0
747,76G9bTKhQ1e9cJxj7rtlb8,,EN,,digione_staging,0
609,6PoXecLO4XSaYm0oTJG9qj,,NaN,,Playground,0
750,8hP0YmkQlRX6dAeTFD3r7S,,EN,,Playground,0
606,8P3th76laMU67HaEnNbw4h,,NaN,,Playground,0
604,4MFGaLpHCm59xJwbnV8J3W,,NaN,,Playground,0
602,9s06uZNY7EO6nh9Y9QadjO,,NaN,,Playground,0
600,6d5vTeijZpx875yObbhfQk,,NaN,,Playground,0
599,4ULVWY80G6Ea7A3YvipMqS,,NaN,,Playground,0
598,3Mp8oSBgd2O5KOJ0V73EWw,,NaN,,Playground,0
752,8D7bb5h8GMs6MV79DzDITd,,EN,,Playground,0
753,1YbPDGsyKM78q9MSPyKqhj,,EN,,Playground,0
754,TX708deQgF9Arn0SNVKmx,,DE,,Playground,0
755,anWBFmzU1fs6UZiIkg6sCe,,EN,,Playground,0
590,4eUUmA4R67o8seYMpWFaiJ,,NaN,,Playground,0
589,9slbvPkNShT94EprLlqK6d,,NaN,,Playground,0
588,hgmETcdLnXaQWUht1tNOd,,NaN,,Playground,0
759,1gLOsv7nUvu645piEoIsmU,,EN,,Playground,0
761,4puKBmZtjLKaDPONvTug2J,,EN,,Playground,0
581,9Vv9ZGqttHz7dLzos4olsN,,EN,,Playground,0
620,3QMvTqoU5825vzFATIlcri,,NaN,,Playground,0
622,8wsT5PnLz0e8cw3wahn4AL,,NaN,,Lernnavi,0
623,79Luj0Dw10J6RAQx0b1yfw,,NaN,,Playground,0
624,4sZa6WN2BAS6iczvx87ufi,,NaN,,Playground,0
679,8NoeibCtcpO9xEEnksTaiv,,NaN,,other_tenant,0
687,9WhtOc9UVk37FNgalbSi1D,,NaN,,Playground,0
676,31NCh2rbi7Sa7ApbQBcGZI,,DE,,Playground,0
668,7auOMkhcyZo6OiZk80Bymq,,NaN,,connectsolutions_fr,0
696,IJEhkgbiTV6nEhbxmZwDr,,NaN,,Playground,0
703,6fHVXU94oye8Hm6xJ2Udeg,,NaN,,Playground,0
704,8nVrzeKfO8A9q4nOnpSVQ7,,NaN,,Playground,0
706,aMi8TR5OfigaJZ7YZaIKhe,,NaN,,Playground,0
707,2Y5fMjaymg2692A3yQZTpr,,NaN,,other_tenant,0
659,88JqgsOjPem81bJPd3wD1I,,NaN,,connectsolutions_de,0
657,5BQkQltzq3f7EE5qfRmTy3,,NaN,,connectsolutions_de,0
715,7AA7x0oH3lo9Xr5IlQsRr9,,EN,,Playground,0
579,6osItwiAbz08PYuPtwFqX7,,NaN,,connectsolutions_fr,0
654,7YJT2Qw1aV68yj9Cu3BrYZ,,NaN,,connectsolutions_de,0
648,2GuHLbwgncL5LxcfFG5vzv,,NaN,,Playground,0
647,a1iZ5okOYMy869AZeaQU5U,,NaN,,Playground,0
722,52WsNjB2VnSaTrFNXb2Jrr,,EN,,digione_prod,0
730,4Y5TBRqCA3x6TbViEPesGs,,EN,,Playground,0
639,2L9BUR3DLu17uZxQiutstO,,NaN,,Playground,0
638,2KbIzaycGHr6cdF0WREiY4,,NaN,,Playground,0
637,4yUxyeH4EbLa9JzEektY8f,,DE,,Playground,0
635,CMxJuv9mqx93DE2ItT4VY,,DE,,Playground,0
736,2EH8QI4Kpd8aSwIxN3pl4A,,EN,,digione_prod,0
631,5CSOoCVGivGalURR33IfMI,,NaN,,Playground,0
626,4l1ktwNQ4CK7mFslxNOPdl,,NaN,,Playground,0
625,3qiidPThwpi8pvNoDHO5M0,,NaN,,Playground,0
721,9r8Tz86IAT76HBFSLui9DP,,EN,,Playground,0
575,6T35A6canBv5AIQoybC4S9,,NaN,,other_tenant,0
767,1WEXwUsrsx575SKDeiLVzE,,EN,,Playground,0
570,9cFyWSRztVO6AVmUZ5ojsi,,NaN,,Playground,0
515,3rW4hVyS2i8aMDIT5vB8pp,,NaN,,connectsolutions_fr,0
514,3UwtFsbOp76jMeiyE9buq,,NaN,,Lernnavi,0
1828,7wJhg8ssJha5DZZ8CW1die,,DE,,Cornelsen EN,0
1829,5gh1AnskDPwaUdl5wSaQKN,,EN,,Playground,0
1831,aFEap7u0juRaBbCAbhChTe,,EN,,other_tenant,0
1835,aaS2e85OWw39q3l1CuOOcv,,EN,,vocitrainer,0
816,1gtSycr2SPkaH2aIzoKegU,,EN,,Playground,0
1899,9yF78m0jv3e9cgVS6i3eR8,,EN,,Playground,0
1906,93C1lazOREq6jWKEDtlT5u,,EN,,Playground,0
1908,8jqCzIZWWUBaxsjaaxLtdU,,EN,,connectsolutions_fr,0
848,2Etz8tlE2Kx6V8HBL2nrrk,,EN,,Playground,0
849,7ENRFbxGC8K61E60nNbLHz,,EN,,Playground,0
1827,2CboUXEsuWn9Wet4XnMG3Y,,DE,,Cornelsen EN,0
850,5sC3js48doYa0xiVtB8YIS,,EN,,Playground,0
852,aAl6angZMNS7OsoJk3CTFW,,DE,,Playground,0
853,9gajLimazRiaGLOeFOxjUp,,DE,,Playground,0
854,1swtPoOW0p5asa1cOKy6SJ,,DE,,Playground,0
861,9Lxm03BqUEM9FnzjESRtJS,,EN,,Playground,0
2007,73T2m17HtGaaJKqh8lSdK7,,EN,,demo,0
865,fc4lyRoFEa6GItMCHxPEz,,EN,,Playground,0
2014,5xeoxmBVXQg8cWOQAFn9RL,,EN,,Cornelsen EN,0
2018,9EKS6zaqx45aAmeBSJoPhK,,EN,,Kurier JBP,0
2019,7haoTsAI3ewaEQeeaXcsJy,,DE,,Playground,0
2031,7FGmJyD71w9SFlBVq2y9w,,EN,,andi_playground,0
2034,9WYwcmb83737hcEJU8pGH3,,EN,,Playground,0
2116,42LkkeU4iNA8ZW4E7iALBc,,EN,,demo_EN,0
851,1KEjj88i6Fc5Q15rM8dlCy,,DE,,Playground,0
2121,3CLxevlYibd6uv03uaoxcf,,EN,,demo_EN,0
517,7dIgEixM5GP8Kg9q4R3Yy1,,NaN,,connectsolutions_fr,0
520,8iJnQiCEIQ17US6a6LUf04,,NaN,,Playground,0
770,6lrnP0Gxlna6PHtgr31CwW,,EN,,Playground,0
771,7xeZbRUZEIc7wl8PnGVQbs,,EN,,digione_staging,0
772,76zal3t3Fh35YXxkmpOZUr,,EN,,Playground,0
566,aclDk4ocJew7cPv7io4NOB,,NaN,,Playground,0
564,2y8RJSeBOB48AeIxpEAKKu,,NaN,,Playground,0
773,8czsXYQukjT64goRKrCSLV,,EN,,Playground,0
560,8UHpEUWjunn8QhyjO8vA0A,,NaN,,Playground,0
559,nW1A9xPq8FalTYusZYGef,,EN,,Playground,0
558,96wGqb1l7KR74t354sDczv,,NaN,,Playground,0
788,8OL8CpK07ah6FBTXz9E30d,,EN,,Playground,0
543,907x9O2pbLeauTBFYFton9,,EN,,Playground,0
803,auc70AWMkMyaBBJanPwEv0,,EN,,be-learning,0
802,5h7xGXN7rF6F20DPJRP6r,,EN,,Playground,0
1821,7hHuv8oGPlB8RxXj4KUOhZ,,EN,,aspect2,0
535,6vnYRWUdtXHaTkL3QglStB,,NaN,,connectsolutions_fr,0
534,6tWwYF5Cw8P66mdXOEq2IW,,NaN,,connectsolutions_fr,0
1822,9i6xPLdZUq98oGgjNONvIZ,,EN,,aspect2,0
532,aNJ24P0pi4m8f5wenptYv2,,NaN,,connectsolutions_fr,0
531,9gTguWTkrC86wJ42mrtH4q,,NaN,,connectsolutions_fr,0
1823,9rEk3he9REnaXJBG2UuglJ,,EN,,aspect2,0
1824,6r2su7D57mz6WCUzwnoC6m,,EN,,aspect2,0
1825,5EM3TmIw0p15Mop3tRT7RM,,EN,,aspect2,0
527,8nyhWVQLHXq60FFqHdjCqL,,NaN,,connectsolutions_fr,0
526,1RM2nq9A9219yy5EORRN7n,,NaN,,connectsolutions_fr,0
525,1EG9PsXrnLy70iVHEvXx7C,,NaN,,connectsolutions_fr,0
539,8zYZgycq1665z9lmWE9ECg,,NaN,,Playground,0
2803,8G70MirkzQz8OEL2YpeC9G,,DE,,Playground,0
2511,8ySK2x4kUnz6Yxz8cnl8pr,,DE,,demo_DE,0
682,3ip8LVAZx1e5L6VJ7elZsi,,NaN,,Playground,0
1022,3awVDeYzz7w8AS4qT0cEHB,,DE,,Playground,0
1023,4ATybf2kRv0adeCUZaGMJk,,DE,,Playground,0
1024,9zksx1T0Jxa9XuFOCpM3q9,,DE,,Playground,0
160,aILeymJjzD76iw04fME04W,,NaN,,Marketing Grundlagen,0
3027,zIUIF1m4mt9CRhtKDsnP4,,DE,,EKV_English,0
158,21iCZVAboCB8k0zTQC4kSw,,NaN,,connectsolutions_fr,0
157,ap1x8v1sFQr7H6xQNCsEAh,,NaN,,connectsolutions_fr,0
1026,4lzzVlpf8c77VZsMIuT5J4,,EN,,Playground,0
152,8RZyJd5g9cJ6eAHR4P4kKe,,NaN,,connectsolutions_fr,0
149,8EKJrcLw68Q80EV0AckNMe,,NaN,,,0
1032,4JRm9EpHou8aejmSAaTybx,,EN,,Playground,0
3764,96IaBYs206270ZaGJyvQEB,,EN,,demo_ENG_generative,0
1035,7E0LlyTmwpPaPsYuTp5kBg,,EN,,client_FR,0
1036,6OpF0IS5axwarcuYC8rDwF,,EN,,other_tenant,0
4346,8Y5jekTnxHR8hVWghnKKq0,,DE,,Playground,0
1060,2asI69UD5W59T6b4MdZwiC,,EN,,Playground,0
1021,1irGFlI464WaepdJKE1aal,,DE,,Playground,0
1385,6rmfL5oelfB9093WvUwM20,,DE,,Playground,0
1020,3bHpX7Kq5aT5EAh2cxMvF4,,DE,,demo_DE,0
3015,1aS7gwIQ5K06548AxIdEpk,,DE,,Playground,0
2893,2UXda1Ls2JN8VOsxzoZLCK,,EN,,Playground,0
2894,5f5m0C0V2sg6iHqEms0CMI,,DE,,CV_641193ae7206291a2069a4f5,0
2896,aGagxY1c5qZ65V5zhCFa52,,DE,,Playground,0
1010,6LVTDL5UJLd6TmkD3Gr91k,,EN,,Playground,0
1011,4LBLlRN8Ezz6y4GJlgIMWn,,EN,,Playground,0
2904,1I0gtWupxSJ5zQhccDXLlk,,EN,,Playground,0
1013,9l2xqQVIKu97bQS55O1db0,,EN,,other_tenant,0
2907,81hTj2diRWA8UjjzGIk9db,,EN,,Playground,0
1015,5d0s2KZsBLa8tmC0YU5R9m,,EN,,Playground,0
2908,6HslBzMBizVaYaYn9jdUMA,,EN,,Playground,0
2909,92CGGAmaxKp7I87eB06mZi,,EN,,Playground,0
1016,61JKuqeD6yL7Q30wFBWhQm,,EN,,Playground,0
1017,qexzkscKGv6qe5wcH7mIy,,EN,,Playground,0
1376,2s2A1CcnS2d7nc2BwO1hwY,,EN,,Playground,0
2974,7XZwMZzyUfl9yNpDBS2es8,,DE,,Playground,0
1018,5J6gWnaq9bx8oKSEvE8h5e,,EN,,Playground,0
3016,6EWLSC7SC6G9tBRxkIgBgn,,DE,,Playground,0
1373,7cXcoooV5kJa0MxgtVtMX9,,EN,,demo,0
4021,5lO2hbCwRJb9Pp8Eo13Jyf,,DE,,Playground,0
3617,5mT0LARSVGK8UKfxNxvhJz,,DE,,Patrick_demo,0
3658,aDqrptRX3Y95M30jQT8ED6,,EN,,demo,0
3685,3lCKKMcj92f7YausAle473,,DE,,Playground,0
3726,2Jvav3KBcUNaYibZhUkQTO,,EN,,Playground,0
81,2qiZbafFfIm7B64mNTRKNh,,NaN,,,0
1120,aRhMgQNkH1HaN429NEdokv,,EN,,digione_staging,0
1123,2ZRnC67EqksaxbkSyzVIzI,,EN,,Playground,0
3755,51YuMUi03VR6oStikvIfYO,,DE,,Patrick_demo,0
3814,6jhskJNAzyj95KFDZNvjpS,,EN,,demo,0
1125,55Tpr8isGvR7L2LuXYeC8N,,DE,,Playground,0
1126,75gIWZ2LOrV7H7xVETtH5Z,,EN,,Playground,0
1127,9U9QxnaCVDH5H3E14Cuwpl,,EN,,Playground,0
1128,1oIJY21lmDHan9RzgwsaSs,,EN,,Playground,0
1140,szikAJpFuM9cxOG5I4S4O,,EN,,Playground,0
1139,1nfQyxj4DwV7LuPJqcyNl3,,DE,,Playground,0
1138,3REN6qRZD1TaBh33AIqDCP,,EN,,Playground,0
1130,9ohbNhYeJ5UaksWrwJjrET,,DE,,Playground,0
1112,7iERiOHNt7BaMmQ5pQeG5p,,EN,,Playground,0
3231,aH6h4Lp58a6afmI6KC76Ur,,DE,,Playground,0
1111,7uS9nXYcjt16fDH4KthtYQ,,DE,,Playground,0
1141,9MErxOW0JjN6WOoRFijMW2,,DE,,Playground,0
3968,1MNjx6nFWrf9yHLPXW7ewd,,DE,,Playground,0
3964,LWQt5Na2L57QRJAln58ol,,DE,,Playground,0
3944,99NaeL7HRyN5Tn8mg1CAOe,,EN,,Classtime Default,0
3284,7vwG9XvckmJ6p5HTHnogI7,,DE,,Playground,0
3930,axMeZ6aZlsn8n8rjvzkGj2,,EN,,Sales_ANU,0
3540,5NeFCNk4ucz73CiIwVH3el,,DE,,Cornelsen B1,0
3541,4ZTclv2VU5qaoT7jOllBaT,,DE,,Cornelsen B1,0
3902,9aarAclhGgJ8AJ9vZurP64,,DE,,lernetz,0
3899,58CyiQrsjps5KjBrNWufrJ,,DE,,Playground,0
3882,3vlSf3S5ZZC8zSFp4S3OhU,,DE,,Playground,0
3572,4cEHHhjlexY5zUURAzYOqI,,EN,,demo_EN,0
103,1k2ORB5120Ba6kQ3SjFHxm,,NaN,,,0
100,1i3kLws1JZ0aniumbiGbRM,,NaN,,,0
99,3qKKeEY8gMwaHbcmebjiAS,,NaN,,,0
1106,awg5HdhPj3M8BT32YCOHDF,,DE,,Cornelsen EN,0
1142,aKFFl84u56r84SvPBNncvM,,DE,,Playground,0
1107,2MseigelI6zaACtyLlqUD1,,EN,,demo,0
1008,ac8oU7YVC9waFq3RFrjPCR,,EN,,Playground,0
1131,8xqGMjhfcGo6t76ijYACsm,,DE,,Playground,0
196,553S11mLdDp5xp3VHonBHg,,NaN,,Marketing Grundlagen,0
2887,1omn57f97g28CyMrFeT5af,,EN,,demo_ENG_generative,0
1005,30L0zNROGYw6tDJkf5BnpQ,,EN,,Playground,0
2884,3rjyUB6eQZ36KOE3yPehkw,,EN,,Playground,0
208,6fmp1C7DAuJ7a6jROE5q9I,,NaN,,connectsolutions_fr,0
2883,1HGDr8d7PAJaUmOZzFp8Sm,,DE,,Playground,0
2879,6SlGTMmgKQi6eqthS6PZgU,,DE,,Playground,0
1003,5nip69aloDU85i42IJcOIU,,EN,,other_tenant,0
1001,1gkAoGadexu9Jw2ISnQOyu,,EN,,Playground,0
1000,a7dk4h3FqPI9F2tBqkXMeJ,,DE,,Playground,0
214,3GXwbQCOlbn9dY9LStgtpV,,NaN,,connectsolutions_fr,0
231,26Kgjsom3Qe9EzLZ1XjNoQ,,NaN,,Lernnavi,0
1006,9iyHEQPI6Fo6zaf9Pn3yDZ,,EN,,Playground,0
215,9uS0eRpsJ1M5xjV4yJ5Bbv,,NaN,,sandbox,0
999,7UKp3FFtaX0aCJlD2eQ19f,,EN,,Playground,0
991,2amGXNx3t1q91JhtOZfEh8,,EN,,demo_EN,0
1367,1FxchqB1RrI6vxL8QQge76,,EN,,Playground,0
1362,1FTuD4miCdd8o3pbSK8yEM,,EN,,Playground,0
2840,6c3yj5XYBPi9fcV4x1J5d4,,DE,,Playground,0
2839,5jSqhvMuSt6aCDSns1iXKa,,EN,,Playground,0
2838,3k1o2mDKPLO8JXGVTefvA4,,DE,,Playground,0
995,5Y4b6GFS9777rSsYRBjjCY,,EN,,demo_EN,0
1363,6BosU1ywgNb7LBqWLArcUv,,EN,,Playground,0
1007,6zJ70TGEPXZa3KONpesuPs,,DE,,Playground,0
2837,4wxqnPf59G39zlnQgUGWLS,,EN,,Playground,0
990,7r5xd4XSUJM9CV3mQSBluX,,EN,,Playground,0
2888,JBAG65IPLx7pXAnVVWtsY,,EN,,Playground,0
1366,11kyxKt6cVz7GKIUckxnFZ,,EN,,Playground,0
2889,8MZ38SRsIp27uDSJcGSIv5,,DE,,Playground,0
235,a7YWnBoAABx66Iyv7QE0fG,,NaN,,connectsolutions_en,0
2892,aWukXje2giC9xS9lYPA8QQ,,EN,,Playground,0
988,1zVnO4AW3b26R6WAvs4gHH,,EN,,Playground,0
2891,84xVTKBn6mS80FdwJIU8UU,,EN,,Playground,0
2890,5eX8EmtafnK9a1NBUFyXdt,,DE,,Playground,0
234,4pZCQ0xaBDMavLoBD2LfvK,,NaN,,Lernnavi,0
254,27ovIf5jqsGaGglXVCdLSk,Something.,NaN,,Playground,1
2206,8TxA8GK8qOe9IBJN8RrOTA,blabla,EN,,digione_staging,1
2207,65yycZCSuel9irpFcC6In6,Gorgonzola,EN,,digione_staging,1
2752,9doBsrW3uGy7VM1lMjHau2,Test,EN,,Aila,1
1386,ztlH9LIkSWa5rPFijXhwn,Translate,EN,,api-trial-andi-at-taskbase.com,1
932,2R8KBaFEuETal5XyjuTiNF,Test,EN,,Playground,1
1690,2FJN4Z7EhHz9RJD4EHn3FS,string,EN,,api-trial-reda-at-upskyld.com,1
255,9hAbBXfIVd46GK01Wr1N0Z,Something,NaN,,Playground,1
2530,8K5rY9hfkXu9HmuWepAKor,test,DE,,connectsolutions_dev,1
1897,3HXZi1k2sB27XE7nd2Zu4j,https://connectsolutions.taskbase.com/task/51RfVYDIN2k6JFYt1Mh3IT/edit,EN,,other_tenant,1
1826,6JalF98d7Np9Nf3aaYm7iU,Test,EN,,connectsolutions_de,1
3580,7QPACNffMBD6BYhGYBUT6k,test,DE,test,Playground,1
521,3XwmxZX47vQ8Z4bmLVMMjV,Fussnotentext.,NaN,,Playground,1
671,9bXFoC0UCoOaz4cBhGBxNl,Überschrift,NaN,,demo_DE,1
523,3TVe0K60TdG6hpiGK1nXm4,Fjord.,NaN,,Playground,1
2769,65eNn3PCq6w5WAeM5Fk2W3,xxx,DE,xxx,EKV_Physik,1
764,9dc9dkOVSlb6rEVlLcKxil,Stadt,DE,,iterativ-sandbox,1
670,8zJdrJaIA2kaHjcM00Zpu4,Hauptteil,NaN,,demo_DE,1
510,adpv7cYKn4i7FWXtH1bUkR,W-Fragen,NaN,,iterativ,1
3815,3qud0hJqRK96hmYSLsPENz,write,DE,,Getmorebrain PoC,1
693,5cR6hVGWaf16Y7pOPdbyag,test,NaN,,Playground,1
3900,96Qjy0M6SUO6jXjl6KmaDm,Test,DE,,CV_652e957f7206291630b912cc,1
749,84H3yOwbZ2I8WYo3iWwJJk,Test,EN,,Playground,1
2021,3avRLdE0rdb8nGmIfTnufo,Test,EN,,Playground,1
866,6LCN5fsCtLp8a2tktpTZOS,Veranstalter,DE,,iterativ-sandbox,1
748,3W22vSe5HC0aQUhAhQT8Lo,test,DE,,Playground,1
810,8VHyJQGRtGj7tip6m3mstP,test,EN,,Playground,1
580,6jB5YAUepvT6azzvkHATC0,test,NaN,,Playground,1
669,2lsepl9fCbk5VAYTiXSJry,Einleitung,NaN,,demo_DE,1
105,4MIxJWarQv2705PzdTmgsy,...,NaN,,,1
3925,jmeNoPVhwNaC34pyUpr0U,stuff,EN,,Classtime Default,1
745,78AejMbXpKmaeaRjbVG9Cd,W-Fragen,EN,,iterativ-sandbox,1
