,documentId,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
87,19pdYL68OUt8bPoe9bVmWI,FR,FR_M_PM_Test14_Q3,Réponds en 3 mots-cléQuels sont 3 avantages pour l'employeur à conduire un entretien de départ losqu'un.e employé.e met fin au rapport de travail?,,"{'id': 5185, 'name': ""14. Les mesures de licenciement et d'adaptation des contrats de travail"", 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,23
88,91ITFQiMVyV9wvc6oy8Xye,FR,FR_M_PM_Test16_Q3,Nomme 3 lois à respecter lors de la création d'un contrat de travail.,,"{'id': 5177, 'name': '6. Les éléments clé du contrat de travail', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,13
89,9d5raDTOvjf6LkLBsGodeO,FR,FR_M_PM_Test17_Q4,"Nomme, en quelques mots, une obligation accessoire de l'employé.e",,"{'id': 5181, 'name': '10. Les bases légales des droits qui concernent le travail', 'description': '', 'displayedOnDashboard': False}",[],"[""Il s'agit d'actions courantes, mais qui doivent être discutées, qui ne vont pas de soi.""]",,,[''],KEYWORD,9
90,2WxwCaxuU2e8Y44UBwqMJ4,FR,FR_M_PM_Test18_Q1,Réponds en quelques mots : Quelle mesure prendre pour traiter la question complexe des droits en cas de litige ?,,"{'id': 5181, 'name': '10. Les bases légales des droits qui concernent le travail', 'description': '', 'displayedOnDashboard': False}",[],"[""Il s'agit de l'intervention d'une tierce personne""]",,,[''],KEYWORD,20
93,msoFCytc3j8WRobm2Zg9g,EN,DRN Demo [Satz über Tag],Schreibe einen Satz über deinen heutigen Tag.,,,[],[],,,[''],KEYWORD,7
94,6RQ7g0iwc7j6CceDZzzh8c,EN,DRN Demo [1291],Was ist das Gründungsjahr der Schweiz? Antworte in einem Satz.,,,[],[],,,[''],KEYWORD,10
95,7osDWPZKl7x6tMT4ceZbUG,EN,DRN Demo [Engineering],"Name one key responsibility of someone with the role of ""Head of engineering"" in the field of software engineering.",,,[],[],,,[''],KEYWORD,19
96,9MCFfAQmiPC7UKxJTfewyg,EN,DRN Demo [Text summarization],"Read the following text:Maddie is a small girl of just 7 years. One day she thought she'd go on an adventure. She went into the forrest and there was a bear. At first she was a little scared, but the bear smiled and they became friends. Maddie thought, it's good to go on adventures!Summarize the text in one sentence:",,,[],[],,,[''],KEYWORD,59
97,aS4EbxHhiqR84kKaqHWe4v,EN,DRN Demo [Currying],What is currying? Answer in one sentence.,,,[],[],,,[''],KEYWORD,7
98,8DqIXljQuGe9xQIEqI7WFp,DE,U_LN_01_Postkarte,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind.Kawai, 22.09.2018Hallo JensNach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis.Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug!Flurina",,,[],[],,,[''],KEYWORD,58
100,4PY2TREfHRK6eT0C23mAnb,FR,FR_M_PM_EVAL1_Q2,"Nomme, en quelques mots, un domaine d’activité du secteur RH ?",,"{'id': 5171, 'name': '1. Les domaines de la GRH et leurs liens', 'description': '', 'displayedOnDashboard': False}",[],['Une tâche qui incombe aux RH.'],,,[''],KEYWORD,11
101,4qsowiEnxvy8ExR4QdKQbJ,FR,FR_M_PM_Test1_Q1,Décris en une phrase une mesure que la gestion des ressources humaines peut appliquer pour pallier aux problèmes engendrés par la démographie suisse.,,"{'id': 5174, 'name': ""3. L'influence des développement du marché du travail sur la GRH"", 'description': '', 'displayedOnDashboard': False}",[],"[""Il faut savoir que la démographie suisse a pour particularité d'être vieillissante""]",,,[''],SENTENCE,23
102,3vmyzUzJgah6E81upDABAX,FR,FR_M_PM_Test2_Q5,Décris en quelques phrases comment le département des RH peut agir pour réduire les inégalités homme-femme.,,"{'id': 5175, 'name': '4. Intervention et suivi du département RH pour la gestion du personnel', 'description': '', 'displayedOnDashboard': False}",[],['Que peuvent faire les RH pour pallier à ces inégalités?'],,,[''],SENTENCE,16
103,9ufAfw8m1O55DfdFOLCy1W,FR,FR_M_PM_Test7_Q5,Réponds par une phrase: que peut exiger de la part de l'employeur.euse une personne qui estime avoir été victime de discrimination raciale lors d'un entretien?,,"{'id': 5181, 'name': '10. Les bases légales des droits qui concernent le travail', 'description': '', 'displayedOnDashboard': False}",[],"[""Il s'agit d'une preuve qui doit pouvoir être montrée.""]",,,[''],SENTENCE,25
104,3cxqio0Pwum7T4DOwjDib7,FR,FR_M_PM_Test15_Q1,"Un employeur peut-il faire un certificat de travail basique lorsqu'il se sépare d'un collaborateur pour une faute grave, tel qu'un vol ? Justifie ta réponse en une phrase complète.",,"{'id': 5185, 'name': ""14. Les mesures de licenciement et d'adaptation des contrats de travail"", 'description': '', 'displayedOnDashboard': False}",[],['Est-il important que cette information soit notée quelque part?'],,,[''],SENTENCE,29
106,59k5NyeUzhGaT6tJHIirr1,DE,113,Besucherinnen und Besucher,,"{'id': 4576, 'name': 'Allgemeinbildender Unterricht', 'description': '', 'displayedOnDashboard': False}",[],"['Wettersicherheit, längerer Anfahrtsweg.']",,,[''],SENTENCE,3
107,bRqmolw1q8ay8DAojjVrv,EN,Onboarding: Translation,Write in English:Tim wohnt in einem grossen Haus.,,,[],['<p>Tim lives in a big house</p>'],,,[''],KEYWORD,8
108,aNr8QHVs8gF5UyP3kCWG8r,EN,task1,Describe the picture?,,,[],['a girl is hugging a dog'],,,[''],KEYWORD,3
109,4ZKOYTKtErv8F3wodScNAz,EN,Onboarding: Translation (Kopie),Write in English:Tim wohnt in einem grossen Haus.,,,[],['<p>Tim lives in a big house</p>'],,,[''],KEYWORD,8
110,3JHyVQ834El7tBAt0ytcZo,EN,Onboarding: Translation (Kopie),Write in English:Tim wohnt in einem grossen Haus.,,,[],['<p>Tim lives in a big house</p>'],,,[''],KEYWORD,8
111,96VcmrRmW8d6QiLp2FxnGV,EN,Onboarding: Translation (Kopie),Write in English:Tim wohnt in einem grossen Haus.,,,[],['<p>Tim lives in a big house</p>'],,,[''],KEYWORD,8
112,bNjdt00KBY5zA8iodD1Jq,EN,Onboarding: Translation (Victor),Write in English:Tim wohnt in einem grossen Haus.,,,[],['<p>Tim lives in a big house</p>'],,,[''],KEYWORD,8
113,9tREBBwI8Mw9AowRsFb3j7,FR,TEST DOMINIQUE - tout à fait - Freitext,Brabbel brabbel plopp.,,,[],[],,,[''],KEYWORD,3
114,1aFSUitL2a75WVYA7sYmbV,DE,DE_M_PM_Test4_Q5,"Alexandra muss ein Kompetenzprofil für die Einstellung des/der neuen Kundenbetreuers/in in ihrem Unternehmen erstellen. Welche Frage könnte sie sich stellen, um die Aufgaben dieser Stelle zu beschreiben? Finde zwei Beispiele für solche Fragen.",,"{'id': 5195, 'name': '8. Das Engagement von HR', 'description': '', 'displayedOnDashboard': False}",[],['Es handelt sich hierbei um bereichsübergreifende Fragen.'],,,[''],SENTENCE,33
115,1vX3fcgVtpy9k6WSWsiwVY,DE,DE_M_PM_Test13_Q1,"Du hast die Aufgabe, ein neues Projekt zu entwickeln, z. B. ein Onboarding-Programm für Personen, die neu in das Unternehmen kommen. Was ist der erste Schritt? Antworte in Stichworten.",,"{'id': 5199, 'name': '12. Massnahmen zur Entwicklung der Mitarbeiter/innen', 'description': '', 'displayedOnDashboard': False}",[],['An erster Stelle steht eine Art Bestandsaufnahme.'],,,[''],SENTENCE,29
116,1Yw06EpFLlx8w5vSpuyw7z,DE,DE_M_PM_Test16_Q3,"Nenne drei Gesetze, die bei der Erstellung eines Arbeitsvertrags beachtet werden müssen.",,"{'id': 5193, 'name': '6. Die Schlüsselelemente des Arbeitsvertrags', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,12
117,3ijyNlG3msT8hVz0AagklM,DE,DE_M_PM_Test18_Q1,"Beantworte die Frage in Stichworten: Welche Maßnahme sollte ergriffen werden, um die komplexe Frage der Rechte im Streitfall anzugehen?",,"{'id': 5197, 'name': '10. Die Rechtsgrundlagen der Arbeit', 'description': '', 'displayedOnDashboard': False}",[],['Es benötigt das Hinzuziehen einer dritten Person.'],,,[''],KEYWORD,19
118,3Lhb5g6fDr86NzURJcyyDz,DE,DE_M_PM_EVAL1_Q2,Benenne mit einigen Stichwörtern einen Tätigkeitsbereich des HR-Bereichs?,,"{'id': 5188, 'name': '1. Die Bereiche des HRM und ihre Vernetzung', 'description': '', 'displayedOnDashboard': False}",[],"['Eine Aufgabe, die der Personalabteilung obliegt.']",,,[''],KEYWORD,8
119,4ASVotj6O8TaDrfNW86wN8,DE,DE_M_PM_Test9_Q1,Beschreibe anhand von Stichwörtern.Was könnte gemäß der ERG-Theorie die Einführung von Home-Office für jemanden mit einem starken Kontaktbedürfnis bedeuten?,,"{'id': 5198, 'name': '11. Instrumente zur Motivation und Honorierung', 'description': '', 'displayedOnDashboard': False}",[],['Die Zunahme eines bestimmten Bedürfnisses.'],,,[''],KEYWORD,19
120,4wgx29MQGCG7nsLZGOLVkb,DE,DE_M_PM_Test5_Q1,"Das Unternehmen Algrifor möchte seine Internetplattform verbessern, um die elektronische Rekrutierung zu ermöglichen. Dazu hat sie einen professionellen Programmierer beauftragt. Nenne stichwortartig einen wichtigen Punkt, auf den er bei der Gestaltung des E-Recruitings achten muss.",,"{'id': 5195, 'name': '8. Das Engagement von HR', 'description': '', 'displayedOnDashboard': False}",[],"['Welche Anweisung würdest du dem Programmierer geben, um eine erfolgreiche Plattform zu erschaffen?']",,,[''],SENTENCE,35
121,5qXSNUFhNmN5VidLfA9m4w,DE,DE_M_PM_Test6_Q1,"Alexandra schaut sich ein Bewerbungsdossier an, das ihr gut gefällt.Dann bemerkt sie, dass eine Zeit der Inaktivität nicht erklärt ist. Welches formale Kriterium für die Bewertung von Bewerbungsdossiers wird nicht erfüllt? Beantworte diese Frage in wenigen Stichworten.",,"{'id': 5195, 'name': '8. Das Engagement von HR', 'description': '', 'displayedOnDashboard': False}",[],['Es handelt sich um eine Lücke im Lebenslauf.'],,,[''],KEYWORD,37
122,5X9l77w0fZN6MyxYnD3KVB,DE,DE_M_PM_Test17_Q4,Nenne in Stichworten eine Nebenpflicht des/der Angestellten.,,"{'id': 5197, 'name': '10. Die Rechtsgrundlagen der Arbeit', 'description': '', 'displayedOnDashboard': False}",[],"['Es handelt sich um alltägliche Handlungen, die aber besprochen werden müssen und nicht selbstverständlich sind.']",,,[''],KEYWORD,7
