taskId,description,topic
29,9XEvTav4ZvOafZsCcN8wuJ,lehrbetrieb verandern können ware schilder anspruchsgruppen entscheidung profitieren werden,2
30,91nrbKAfXUJ8DH6RGSjvs7,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,2
31,5xslDLNV5dB8l7n3DsdzAq,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt nachteil vorschlag fall vorhanden,2
32,1pPszQK2X1b97Eat8NAdGf,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,2
33,67O6lTzBuHz7WIvFT9QIZJ,a erst buchstab alphabet,0
34,1xgHkdji4n27IrsqwdFmhp,a erst buchstab alphabet,0
35,aANiFOmnISr6tHKrt45EPg,a erst buchstab alphabet,0
36,uWvEWUyna09NtbP0RMp63,markieren ausdruck metaph wirkung folgend beispiel red bull verleihen flugel werbeslogan,2
37,2VX1HHa4SZp9Cs6Suof4ho,beschreib hund bild,3
38,7Xx3NrODBh69k4BwlIa1jb,beschreiben folgend grafik,0
39,4hMWK3Mhj5haBKImBjmN0f,kolonn ko gemisch atmospharendruck trennen beschreiben allgemein vorgang wahrend verfahren kolonn ko ablauft antwort satz,0
40,3yYlsxQhH0J7pxKErqFl0l,behalt teilanlag mussen wechsel periodisch regenerieren beschreiben regenerationsvorgang antwort satz,0
41,afIm0RTT4KK6XTC3ya0g1T,nenn errungenschaft zug marktweib erreichen werden,2
42,4T0hwZUZQEJ5VsGnDhcE5J,wichtig zusammenarbeitest,1
43,1Eoip711J8H71DVAO8BtMI,erklar eigen wort warum rund schafe vorzeitig tal bringen werden,3
44,3rYsJTZ4C6R7DcaE4A48GM,beschreib eigen wort warum eu akzeptieren schweden wolfsfrei zon bejagung wolfen,2
45,81xdUMIFiyC7gTSwml1MTv,kennzeichen erlebnislyrik antwort satz,0
46,7fE9sk0x2amalma0takBp5,vorgehen planen schlussteil interpretationsaufsatz nennen wichtig schritt,1
47,7CUm7BcYBG79uI8VPMUKCo,inhaltlich aspekt werden dichen interpretieren schreiben maxim satz,0
48,77ie2UMlNNealZTBPJN3An,ubersetze satz -- erst buchstab alphabet,0
49,790yfzUMFlJ8eXYT7OtUHW,schreiben satz passiv prasen termin intensiv vorbereit kollege,0
50,5gih6z8lRbv5ZAPRSSpPBB,nenn funf merkmal nachfolgend text textsort ansichtskart typisch kauai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,0
51,6eVh0sUk73laFRNimbk7MC,mach satzen relativsatz arbeit gern laptop laptop letzen woch bekommen,3
52,avYO5lPPpNR7MVAKdARpVK,zuerst schreib satz nachdem plusquamperfekt neu wohnung finden helfer bestellen nachdem,0
53,6tsg9mDSnNP9MSZAtBpQ08,schreib satz passiv prasen termin intensiv vorbereit kollege,0
54,vO9lrQFWnd6rddJnOBDkJ,erganz passiv prasen packe koffer,0
55,nqu0vtfgjH8ly72XMcGSF,wann schlacht waterloo,2
56,4zcsaIGJPKc5XQ9cX2N0vo,ubersetz lieben deutsch,2
57,XZZNGpJJoP9NfrRPSfR8w,ubersetz lieben deutsch,2
58,9fRq8FcU04z6cylMYhxZpp,ubersetz lieben deutsch,2
59,6tKWn39JVqC6nMBv9vQoGD,ubersetz lieben deutsch,2
60,97MdgAui4Mk7m6cOU11GNV,erganz passiv prasen fliegen flugzeug,0
61,7bJSSnEH7oC9X4OLEOBOHF,erganz passiv prasen empfehlen restaur,0
62,7FFk3hJ8VXl5PxDmcM1yg6,schreiben satz passiv prasen meister haushalt trennen abfal,0
63,1mfdXT4GupD5I8EgTdLjnb,schreiben satz passiv prasen bayern trinkt bier,0
64,3nyPPFNdnq3aWkfdyyblYZ,machen schreiben passiv prasen kaffe servieren,0
65,6jck1jG2yALa91FNC2Avae,machen schreiben passiv prasen ordn abhol,0
66,3DSHS6PDsDJ6jCx4ZaYAkq,ordn satz schreiben passiv prasen koffer tasch kleidung eingepacken,0
67,3h77kJLwUzk9jnm3I5I72t,ordn satz schreiben passiv prasen abstellen kuhlschrank,0
68,acRRmel9dq79Mz98xPSL7U,wer machen schreiben satz passiv prasen oft untersuch arztin kind,0
69,5h3g4hte7GG97F5Dc8VSfx,wer machen schreiben satz passiv prasen empfehlen arztin medika,0
70,4pKkeNj3T6ZaUqdC7cefmS,gib antwort stichwort meinung eigenschaft leader helfen eigen sensibilitat umgehen,4
71,5uQBlerTLL09zTEJkjoY0P,beantwort frage stichworter meister veranderungsprojekt auswirkung eben meinung,2
72,2SlBVhjmVIN9brWa5caXzs,nenn weniger wort beispiel technologisch wandel arbeitsmittel betreffen,2
73,3PEjuP7EEn6a1U8sGBCKv8,nenn beispiel organisatorisch veranderung organisationsmodel betreffen,2
74,8qiNixePl585WRsLTvsO5L,beantwort frage beschreibung formulierst erwartung fuhrungsrol nenn mindester,2
75,7niZcHw13T26fs05I4CQiX,beantwort frage entsprechend kammer model benennst beschreibung entsprechen firma carl arbeiten verlagern arbeitsplatz direkt bedrohen carl bewussen vorn blicken arbeit finden fallt schwer entscheiden erinnern nostalgisch situat bekanntgeben nachricht beeintrachtigen produktivitat,2
76,4My3qZPpoD29iUxDtDEVQp,beantwort frage phase veranderungskurv benennst alexandra befinden alexandra firma wurd umstrukturiern entlassung fuhrungskraften fuhrt dadurch alexandra tag mehr chefin vierkopfig siebenkopfigen team neu mitarbeit team schwierigkeit veranderung gewohn alexandra macht arbeit jedoch weiterhin integr neu mitarbeit tun,2
77,2jnGAP7Hufw8aZUcKNJMc7,vervollstandig satz adjektiv schritt kott model vision strategi entwickeln befindest vision,0
78,5lqXRJhkFvMaTGrslIY6YY,bereitschaft veranderung entwickeln gefuhl dringlichkeit schöpfen musse verantwortliche bestimmen frage beantworten konn gib davon,2
79,89qzhqauONB6K7kRLpV64m,beantwort frage vollstandigen satz signal senden person widerstand leisten eigentlich,2
80,DgC1xLQRqo95OXxMTuMjN,beantwort frage method benennst kommunikationsmaßnehmen wurdest einfuhr personlich bedurfniss person zusatzlich unterstutzung ermitteln,2
81,aqldUKdUSre6kdvHuBrYt7,nennen intern extern personengrupp direkt indirekt aktivitat unternehmen betreffen daher interesse gegenub unternehmen geltend,2
82,1Khq1NcVb2T84UFefrMlqJ,beantwort frage bestimmen art handlung angibst carl uberzeugungskraft einsetzen projekt bekommen ursprunglich alexandra widmen tun,2
83,1MoRHyQX5pJ6OVL1qZqP6i,beantwort frage wort art veranderung stellen einrichtung onlin plattform kontext coronaviru pandemi dar handeln revolutionar global veranderung,2
84,2BEhOwnzxgT6prfp7BvxuZ,nenn meßnahmen veranderungsprozess alltag verankern konn,0
85,2XCZvkZWgxOaAr62HhDWR3,nenn beispiel interessengrupp,2
86,3FGpNp7eJHi75fsSSV17zn,beantwort frage beid erwarten antwort gibst neu projekt alexandra groß spannung fuhrt reaktion moglich eher posit eher neg,2
87,4unxe0YKsV57iyJC6yj14a,nenn beispiel technisch entwicklung transportwesen,2
88,5F5z68DvGND93wql4U4JTo,beantwort frage entsprechend method benennst method aktiv unterstutzung begleitung wurdest einsetzen mitarbeit neu gefordert fahigkeit entwickeln,2
89,5OD6pEEQ0Og74G6ac34ELo,nennen durchgefuhrten bericht uber erfolgreich leistung aufgrund veranderung,2
90,5UI7ddBqEUf9RzaFurONES,nenn satz beispiel aufgeben roll vermittl facilit verbinden,0
91,7h8f9nExZtt7r8M3Ccet2q,schreib richtig antwort stichworte kommunikationsmaßnehmen informieren alexandra team uber herausforderung unangenehm hurd erwarten,2
92,7lQ0BAuQLHG5SFqQxJkmm7,beantwort frage antwort alphabetisch reihenfolg angibst bedingung musse erfullt verhalt rahmen unternehmensumstrukturierung andern,2
93,WQpEgyLgi089ljEf8PuJw,walter buchhalt debitoren generaldirekt sbb bern nennen aufgabe sowi moglich kompetenz verantwortung stell taskbas kommentar folgend aufgeben handeln offen aufgeben aufgab musterlosung hinterlegen taskbas aufgeben gut wissen vorhanden information aufsetzen musterlosung vorhanden moglich antwort gemass einschatzung hep fehl zusammenarbeit werden didaktisch diskussion passieren feedbacktext lernend hinwei korrekt antwort konnt feedbacktext enthalt musterlosung,2
94,aqFM7iL1gxE8Nl9d5EwMZ7,nennen variant organis taskbas kommentar aufgeben handeln cloze aufgeben wort beantworten aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback lernend hinwei richtig losung enthalt musterlosung,2
95,5CFVvAUF1ql5IyB56TENAa,warum wurd wohl organis wahlen taskbas kommentar aufgeben handeln offen aufgeben aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback lernend hinwei richtig losung enthalt musterlosung feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel didaktisch anforderung angepasst,3
96,3OSeZ6O83us8GUTd4pseaY,abteilung organisieren taskbas kommentar aufgeben handeln offen aufgeben aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback lernend hinwei richtig losung enthalt musterlosung feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel didaktisch anforderung angepasst,3
97,1bE5K6vfUmkaLCVEop9wJM,formulier antwort mithilf mehrer stichwort nenn mindest dimension lebensbereich person tyrann tater beeintrachtigen,2
98,2OCzVPx47hE9q61ls1ggvQ,gottfri benn reise zurich beispiel sein tief stadt wund weih inhalt habana wissen hibiskusrot brechen ewig manna wustennot bahnhofstraß ruee boulevard lido laan fifth avenuee fallen leer ach vergeblich fahren spat erst erfahren bleiben still bewahren umgrenzend benutzen folgend formulierungsbaustein einleitung interpret beginnen gedicht jahr fragen lyrisch,0
99,s8jsymMwfZ7Fn4A59dRSU,beschreib hund erwahn hierbei rass farb groß alter einfallt,3
100,4zCCSDzZTms68NuZVvcVct,schreiben satz prateritum gestern erzahlen schichen,0
101,7zfjwIwagx5az8LCkxXHsO,erklar warum ethisch sicht wichtig daten schutzen,3
102,7SD9u9MoZjYaAhDd6kLBRo,nenn nachteil verfahren ubermittlungsbog laufzettel,2
103,3fXs9eN4lDd7hkGplAKFO3,gib eigenschaft ide projekt mund konne,0
104,9oRkVfq3T2P6F9BloLII3S,input sicht prozess befriedigung kundenbedurfniss,2
105,8D1z6MPJmr65Takllixd2i,output sicht prozess befriedigung kundenbedurfniss,2
106,3WLihIbee4L8jhzHkIfzSf,begriff bezeichnen situat output prozess input,2
107,2JIQtvavj715NCtZBhwpKb,beschreib satzen problem umgang fluchtling deutlich,3
108,7Pv0gEhr6Xc8mgGlUvktVK,bild satz konjunktiv florian gern neu auto,0
109,9YNgZK9qGs3aIva1dwBYZa,nenn hinwei journal liefern,2
110,5NM4ASUhva5aCNnFd8qMlv,ding hauptbuch lauf jahr verwenden,2
111,SOMP2AgEC08C9MNNjovKJ,formulier satz konjunktiv ii verwendung vorgegeben element heuen abend helfen konn,0
112,aY3j1u00B739hp4ZmHLVHe,formulier satz konjunktiv ii verwendung vorgegeben element brianna gern mehr geld,0
113,527EsNbu7Mva1FIzFhT8ad,warum radikalisiert teil britisch frauenbewegung beschreib eigen wort,0
114,4Rg8Yp2yGgf7aV1xzYfiVy,erklar bildhaftigkeit markiert ausdruck tonio daheim zeit vertrodeln unterricht langsam undabgewandter geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,4
115,LiHAY4BB975PIk5fa7IuJ,schreib satz passiv pras paket sollen bringen,0
116,aYH2E7OnEXD6ZkBuRluem2,schreib satz passend reflexivpronom entspann well center,0
117,7cbUVIncPWj7bkifUWUKkv,gib mithilf stichwort beispiel grundbedurfni,2
118,3MoZ9FVC8qe9MAcngw2J70,gib antwort satz nenn grund warum arbeitgeb anspruch wegen verletzung arbeitsvertrag geltend,0
119,18MW1MdWKJz81E4QzkfEuH,gib antwort satz anlasslich jahresgesprach berichten christin vorgesetzt arbeit begeistert auswirkung coronaviru pandemi sorge bereiten wurdest bedurfni kategorisier leitung tun entgegenzukommen,0
120,83xsYxxMc6j9Bejqoyp0RJ,gib antwort mithilf stichwort alexandra mitgli vorstand unternehmen geschaftsfuhrerin mocht home offic einfuhr beauftragen vorstand meßnahmen einzufuhren uberlasst geeignet maßnahme festzuleg form manag vorstand aufgeben,2
121,6O0owl7H4NU8SihzLYtcY0,eben personalbeurteilung gib bitt stichworter,2
122,1NlUf48QYyvaTsrdLS2toL,nenn wichtig aufgabe erledigen mussen mitarbeit mitarbeiterin unternehmen verlasst,2
123,4a2uOAm5ddF7GUa7e3dBIF,wurdest arbeitgeb tun e arbeitnehm woch lang angeben grund arbeit erscheinen beantwort frage satz,2
124,1I5EV1IlAfx64xWFvGe5zb,arbeitgeb sicherstellen arbeitnehm unternehmen verlasst konkurrenz arbeiten beantwort frage weniger stichworte,2
125,5OzEyxZ2WKk6uvwTmrFpAd,alexandra mocht neu oper mitarbeit unternehmen einstellen arbeit krankheit urlaub erleichtern wirtschaftlich ziel stehen maßnahm spannungsverhaltni beantwort frage mithilf stichworte,2
126,8uugUQrI9Ie8JLBAYWwu9B,beendigung arbeitsverhaltniss arbeitgeb wichtig einhaltung gesetzlich bestimmung achter bestimmung handeln gib antwort stichworten,2
127,4oCv22yeHfC8yS7rMmmovf,mitarbeit verlassen unternehmen nachfolg stell finden hoch geschatzt kosten unternehmen gib antwort mithilf stichworte,2
128,4xW92J7nPEHactKBePdCpE,unternehmen algrifor große finanziel problem alexandra beschließen mitarbeit vorruhestand schicken negativ finanziell folge konnen entscheidung unternehmen beantwort frage satz,2
129,7BRitwvWZOW6WveU9cdCd5,gib antwort mithilf stichwort firma alexand arbeiten stellen geschaftsleitung fest einstellungskosten hoch schwierig passend nachwuchstalent finden geschaftsfuhr davon unternehmen jung arbeitnehm attraktiv genug kombin daten konnt alexand verwend hypoth uberprufen,0
130,2C4hoGSipAL6InnsC0sPpV,beschreib satz arbeit personalabteilung sozial netzwerk verandern,0
131,3Jbmq8gDaDn93254RCDksl,kritik haufig sozial netzwerken bezug arbeitsvermittlung geaußeren beantwort frage satz,2
132,8BkGplumC8a840mXmWiP6z,durchsicht bewerbungsunterlag stellen alexandra fest bewerberin anforderung stell ubertrifft alexandra sicherstelle bevor bewerberin einstellen beantwort frage mithilf satz,2
133,8T76IzRT3T66WxPzViAdRH,beantwort frage mithilf stichwort positiv auswirkung erfolgreich onboard bewerb,2
134,4Xkj90IYMQ284Wy1pREFm9,beantwort frage stichwort alexand firma neu team facharbeitern einstellen integrationsmaßnehmen ware vergleich maßnehmen einzeln person gut geeignet,2
135,1Jf3y3o3OoOa6S8gLB15le,beantwort frage stichworten womit erfolgreich probezeit enden,2
136,15fnCODBmC29aoCnJTbekl,beschreib stichwort vorteil aufhebung pflicht arbeit home offic,3
137,6QtXXqQYtR9IbefZVEEYw,beschreib weniger wort maßnehmen alexandra unternehmen einfuhr konnt bedurfni mitarbeit innen zugehorigkeit verbessern,2
138,4Dfz3kIxMan69nUsoDkiJ9,beschreib art lohn unternehmen wahl risiko verringern anzahl leistung sinken,2
139,96PWDkkUmQA6isFODs84MO,warum vorschlagswesen etablieren beantwort frage weniger satz,2
140,2py0BSkLWLx98Hl8snJFWi,nenn vorteil teilzeitarbeit unternehmen,2
141,1Pj3KekZT6W9t4ZckPwWCi,nenn nachteil home offic unternehmen ergeben,2
142,90VWyaZT0By7lcqDL0BJH9,aspekt musst erstellung schulungskonzept berucksichtigen nenn davon,2
143,9pO4eVfv9dKauA35wE6QOa,konntest sicherstell teilnehmerinnen teilnehm weiterbildung profitieren antwort satze,2
144,6PyF0OwlZm47VRd8ao02xm,gib beispiel rationalisierungsmaßnehmen antwort stichworten,2
145,IaKi6iab7oaWWYtXJs423,formulier satz arbeitszeugni alic stehen wurd gelingen verschied projekt gleichzeitig hut bringen formulier antwort vollstandigen satz alic zeugni formulieren wurdest,0
146,6TBfEErEnWe84USM4fJmcj,alic verlasst unternehmen meiten jahr erster jahreshalfn urlaub nehmen arbeitgeb tun unternehmen verlasst gib antwort satz,0
147,6zN789CWOea9ECTmkinf3W,nenn ding e arbeitnehm anspruch unternehmen verlassen,2
148,6b1B7zJPWCD9uFU0Df6LAg,nenn stichwort nebenpflicht arbeitgeb,2
149,9bKvJXzVDT17ZUOaiPDwjg,gib antwort mithilf stichworte kannst tun bemerkst e mitarbeit seit woche arbeit unzureichend qualitat liefern,2
150,7ZeBN122qi97fFI8wxKhDd,schreib satz konjunktiv gern tanzen,0
151,8f1estLkrYo7P2iWATbto9,gib antwort satz tatiana neu mitarbeiterin market agrifor unternehmen klempnerarbeit rahmen stell information uber kunde unternehmen kollege sammeln direkt kontakt stehen wen tatiana grundlag einfuhrungstag treffen,2
152,1LEKhtWAXfR5VL3aZS24Ak,beschreib satz vorteil arbeitsmarkt bilateral abkommen uber personenfreizugigkeit ergeben,0
153,1x1LyscGZyg7xNq9DRv2hk,schreib satz prasen behalt reihenfolg,0
154,XYELLLXe736ykV04Qh6FI,nenn element stellenanzeig nennen,2
155,9QRukUX9TpU73w7heZO3EI,gib antwort mithilf stichworte nenn komponent unternehmensprofil dabei beliebig merkmal handeln unternehmen definieren,2
156,7bUPxzTT24M6I5wk9fuXpq,gib antwort satz direktor unternehmen alexandra personalchefin arbeiten sagen planung technologischen fortschritt bereich berucksichtigen abteilung dadurch riski wettbewerbsvorteil verlieren alexandra tun vorwurf wehren,0
157,8uIg14U06b284z7ypXwVvo,gib antwort satz alexandra folgend stellenanzeig plattform unternehmen verfassen gib element fehlen unternehmen algrifor seit jahr bereich klempnerei tatig suchen n hr assist ab sofort verfugbar bieten motivierend arbeitsklima aufstiegsmoglichkeit bitt bewerben ausschließlich uber plattform,0
158,1bD0giWLVjwaSbhlr4gRX9,unternehmen alexand spezialisten personalrekrutierung arbeiten stellen autoteil her musse zusatzlich arbeitskraft produkt einstellen wer gut lage bewerberinn bewerb auszuwahlen,3
159,aEnQkNo1tno8LEGnW1fvKN,beschreib weniger satzen mittel personalabteilung einsetzen herrschend ungleichheit manner frau abbauen,3
160,8Rwy5SXBEcj9Rb2DoAU5oS,verandern siedepunkt flussigkeit umgebungsdruck absenken zeichen,2
161,9FPv5m7DrOG7bShmkvaeGj,verknupf beide kursiv gedruckt satz passend konnektor schreib neu satzgefug satzverbindung feld stark geschneit letzen nacht bahn stecken schnee fest,0
162,86AW3SNqRiO8Kn6W4JHuHb,formulier antwort mithilf stichworter ausubung roll fuhrungskraft setzen wesentlich voraussetzung vorau machen innerhalb unternehmen autoritat beruflich kenntniss fahigkeit fertigkeit form autoritat bezeichnen fachwiss gleichzusetze sprechen,2
163,lEsYBtUwjB8W7Lmu4JkPH,adjektiv charakterisiert autor werber,2
164,2nuLWReBbek89lbaHWaGmw,autor entwickeln neu wort text,3
165,1NuqLOUQNKV8oseFxo7vzL,schreib worter wortausgang tum,2
166,2EG7YQjQXTX9wI1Y8ViC3H,schreib worter heit enden,2
167,61ZZCETKWPS6YaXH86vNMi,schreib satzen hauptsatz relativsatz liegen buch alt,3
168,7chMpf6Jujh66aZQofcS5E,erganz satz prapositionaladverb pronome interessierst politik,0
169,5SPLVjXcUlz6HVqntC2YVA,rektifik kolonn ko vakuum betreiben warum rektifikationskolonnen allgemein vakuum betrieb antwort satz,0
170,1aLmyhPrFBX8dse9JXePQq,gib antwort satz konflikt analysieren sinnvol position einzunehmen,0
171,3d4uY78HXId8zpfktm3vyP,formulier antwort satz ratsam konflikt lose,0
172,3r9gzct6exC7ef7x9n5hTO,optimal konfliktlosung bestehen darin gut kompromiss finden erklar satzen warum satz falsch,3
173,16l2jy1UQvB6cMkClaq9VU,formulier antwort satz bedeuten verarbeiten konflikt,0
174,6nW7AFyDqxS68XRunWrRaf,formulier antwort kurz satz konflikt erleben vorteil nenn beispiel vorteil nutzen,0
175,1bXIFMhngtPaZ2wRYNzYwR,formulier antwort mithilf mehrer stichwort konflikt gelost partei tun regel uberwindung kosten einfach sein verfugt uber entsprechend reif emotional intelligenz glaubst worum handeln,2
176,ORWSjNjClz7GkjxWUgnAG,formulier antwort mithilf mehrer stichwort gemaß kommunikationsmethod marshal b rosenberg angesicht konflikt darum vier schritt vorzugehen erst schritt bestehen darin beobachtung objektiv nachvollziehbar prazi beschreiben zweit schritt bestehen darin gefuhl situat auszudrucken dritter schritt darum eigen bedurfniss situat formulieren manchmal kompliziert war meinung letzt schritt schema einigung erzielen zufrieden konn,2
177,8HXvPKB56Jr9sO0idXAGKu,formulier antwort mehrere stichwortern konflikt meist storend kosten energi konn posit aspekt bringen nenn beispiel,2
178,GpkD9MREia5zJ5bYjgvQ,formulier antwort mithilf wenig stichwort je lang losung konflikt warten desto wahrscheinlich auflost erklar weniger wort satz warum aussag falsch,0
179,84QmEbG9h8lasOCiauCasS,formulier antwort satz warum sinnvol analy konflikt sichtweis gegenseit berucksichtigen,0
180,7BHouzZ9HsraB10p5j6QUj,konflikt ermoglicht zusammenhalt wiederherzustelle festige erklar satz inwiefern satz zutreffen,0
181,8YrEylIIa0jaxOGT6rvzip,inhalt gehort klett balmer verlag mehr information produkt finden digion ch warum edinburgh lieb edinburgh erster mal kind eltern schwester besuchen finden magisch stadt ganz besonderer atmosphar klein genug leicht zurechtzufind verlieren fuhlen groß genug meng unternehmen schule beschloss studieren gut entscheidung wunderbar zeit einheimischen wirklich freundlich zeit beginnen sogar edinburgh akzent verstehen tatsachlich gefiel edinburgh gut universitat bleiben zunachst leben arbeiten stadt nachdem mann kennenlernen echter schott ziehen nahe auf land arbeit haus eigen unternehmen leiben wochenend mini stadt fahren letzen woch eltern besuch edinburgh castl schottisch nationalgaleri besuchen tag kind zoo tag fahren boot inchcolm abbey nah gelegen insel meister tag princ street garden picknicken find toll edinburgh viel verschieden ding tun stadt wirklich zuhaus werden konnen vorstell wegzuziehen beantworten frage vollstandigen satz warum carolin edinburgh ziehen ziehen edinburgh studieren stadt lieben,2
182,7EOqAtyYtwf7CruWTI727W,bereichen frau iran benachteiligen,3
183,2j6rJkYxYa98ydGaSCW17D,nenn zug marktweib passieren,2
184,7s0Q19C07lJ7fIkxJrorG3,bereichen frau iran benachteiligen,3
185,6z8NILuhWJB7juu2u9rtx0,gegner konflikt gewinnen zwangslaufig verlier erklar mithilf satz warum satz falsch,0
