aspectId,description,topic
165,1588,student know word job,0
166,60061,student know word job,0
167,1591,student know word scienc,0
168,60142,student know word scienc,0
169,5889,detector bullshit,0
170,5890,detector help difficult,0
171,5892,detector finish earli,0
172,5909,detector theori,0
173,5882,abil convert text one languag anoth,1
174,5883,abil write correct amount request inform,1
175,5884,abil correctli match verb subject,3
176,5885,abil use right input format,2
177,5886,abil answer right languag,2
178,5887,correctli spell write text,1
179,5888,abil formul answer correct ten,2
180,61117,abil convert text one languag anoth,1
181,61409,correctli spell write text,1
182,61224,abil correctli match verb subject,3
183,62273,abil formul answer correct ten,2
184,6095,abil convert text one languag anoth,1
185,6096,abil write correct amount request inform,1
186,6097,abil correctli match verb subject,3
187,6098,abil use right input format,2
188,6099,abil answer right languag,2
189,6100,correctli spell write text,1
190,6101,abil formul answer correct ten,2
191,62450,abil convert text one languag anoth,1
192,63446,correctli spell write text,1
193,62813,abil correctli match verb subject,3
194,66358,abil formul answer correct ten,2
195,7437,abil speak understand languag,2
196,67770,abil speak understand languag,2
197,7492,abil speak german english,2
198,67953,abil speak german english,2
199,7506,fluenci german english,2
200,68045,correctli spell write text,1
201,71214,understand locat region physic featur earth surfac,0
202,68053,learner abl use spell strategi correctli,1
203,68190,learner abl write correct sentenc,1
204,71380,learner use correct ten,2
205,8783,learner use swear word,0
206,68218,learner provid offtop answer,2
207,71388,learner make grammat correct sentenc,3
208,9262,learner use correct ten,2
209,9326,learner answer subject verb congruent,3
210,70948,student abl use ten simpl past,3
211,70965,learner abl write correct sentenc,1
212,68380,learner abl correctli spell,1
213,12472,die antwort enthalt die gesuchten stichwort correctstat,3
214,12479,genau sie haben da hauptkonzept verstanden,0
215,114811,answer contain want christma listen christma song,2
216,125,student explain pictur use simpl sentenc,2
217,172234,learner talk topic give task descript,0
218,172240,learner correctli spell write text,1
219,172270,answer consist correctli structur sentenc,1
220,172282,subject verb congruent,3
221,190218,student answer consist distinct sentenc,2
222,265063,student use punctuat correctli,1
223,190202,student enter answer,2
224,190204,student answer clear languag,2
225,190198,student write use appropri languag,1
226,244871,student write sentenc reason length,1
227,190216,student answer complet sentenc,2
228,244896,student use term standard english slang,1
229,244892,student write appropri level standard english,1
230,190210,student answer follow rule grammar,2
231,190208,student follow spell rule,0
232,265068,student answer consist british american english,2
233,244816,student write use word cotext,0
234,272769,student write essay,0
235,190220,student answer opinion piec,2
236,10367,die antwort enthalt die gesuchten stichwort,3
237,10398,ihr antwort ist inhaltlich korrekt,3
238,185944,correctli spell write text,1
239,80695,learner use correct ten,2
240,80758,answer neg sentenc,2
241,9289,answer contain verb look,3
242,80757,answer posit sentenc,2
243,92129,learn use correct ten,2
244,190200,student write answer english,1
245,190212,student answer use declar sentenc,2
246,265293,student write salut,0
247,265297,student write main bodi,0
248,265301,student write greet,0
249,190282,student respond email,3
250,244818,student respond stori,3
251,245911,student write topic,0
252,246889,student write diari entri,0
253,246961,student answer sentenc,2
254,247621,student respond summari,3
255,245919,student write monologu,0
256,246380,student answer descript text,1
257,349668,learner abl use spell strategi correctli,1
258,1578,student know word cash,0
259,59738,student know word cash,0
260,379303,learner abl use spell strategi correctli,1
261,381128,learner compos two dimension three dimension shape creat compos new composit shape,1
262,379944,answer within scope task,2
263,381286,climat chang refer signific chang global temperatur weather pattern time climat chang natur phenomenon human activ major driver sinc th centuri primarili due burn fossil fuel increa greenhous ga level earth atmospher,0
264,381288,impact climat chang widespread affect weather pattern sea level ecosystem global chang lead extrem weather event hurrican drought signific effect biodiver human societi threaten food secur health infrastructur,0
265,379209,learner appli commut associ properti addit,1
