taskId,description,topic
91,8PqBcI1KZWl8Mtq0B8FxL4,translat live osaka age english,0
92,aAkIziPCaJX7lPIBr9JQwY,translat marri age english,0
93,3zGud8VQ8yNaycnVTBNazJ,translat age son english,0
94,acmZVlmedq577WAV5BInIC,translat altern english,0
95,1oTr9NmVjOc7V9UGrEs4ah,translat jane seem fun parti english,0
96,6hmk7XLEG7361cQCL6t3Wb,translat offer someth drink english,0
97,7EkwqUuuM7L71QhYSquY9C,translat chang english,0
98,3lriGJFEm9W8W71JHWyfDX,translat time chang english,0
99,5flo6UARSgZ8n2lBBqtBn1,translat chang attitud english,0
100,2whKClfmekVaHLvKfAiPVa,translat mayb price chang english,0
101,aKyigEtilsvaz9cxURMjNY,translat stupid accept offer english,0
102,51vgitPthWZ7rU5CTzq5VV,translat accept offer english,0
103,22UHAQsTne57THcsK0NPCi,translat accept offer english,0
104,9MpZ9PyNope91FHJ6hDVrI,translat accept offer english,0
105,2tXp4qsxJtY5AN7ivJqsVE,translat answer wrong english,0
106,5QMm78gBppxaJVq91HE6i5,translat find answer english,0
107,aS38m2r9A37aEFQXHdmakv,translat respon english,0
108,1zeg3zMm9df7GMEk4S1mUH,translat know answer english,0
109,aCD2v49jXCD7FKmZex0H8I,translat answer right english,0
110,6QkSj5tcnin7Hqbix7qbxW,translat answer question english,0
111,2r2SYFcYe9N6mNTHUlcK8f,translat need lawyer english,0
112,8KAr1JaOTRu8nGNYfn9Vww,translat appl yet ripe english,0
113,2PqNTcM5pSPav1Hou9ZWcW,translat eat appl english,0
114,WCz20kHwET8k3MVbqppy6,translat appl english,0
115,BQF0srBMWT7Gzo7BZ2uzK,translat appl desk english,0
116,63LwneDO7eg8AK3biY87MO,translat appl tast english,0
117,a9LEBCdqQ1T7bSqECtwYJb,translat job english,0
118,7eAdNIMwTdZ8bNDzMdsKNi,translat satisfi work english,0
119,66WZeewVaQUapMbr4L8zqc,translat tire work english,0
120,94XarI5tWg871T4PHzFaq0,translat work english,0
121,7QYKkjMFgIs6pLnqer8efv,translat must complet work four clock english,0
122,48PYN7qDGQA88NvuCHTt7f,translat continu work english,0
123,55935gEnVks6d5pwpkPcfP,translat drive work car english,0
124,62XXodCNboB9Cyi11h9FbL,translat alreadi find work english,0
125,g2dXexhLZjaE28QsnLCfW,translat work never stop english,0
126,797sy1iQXSt8BJYZq96yLR,translat work english,0
127,4dylAImdwEVa6pPjZkhMUo,translat person work english,0
128,63YBIHhkCW38OC9yqetsjl,translat want work factori english,1
129,4YrjGF9DmAX6HVSsVxBnST,translat pretend work english,0
130,7NnuagJq9QP9YdCJJbnutO,translat work english,0
131,azUng1lvtHdaD9eXmHM7uQ,translat need worker english,0
132,1GVHJpYzrqt9ya6Zp92WoT,translat realli hardwork worker english,0
133,pwS6KHkC5ya2O14CH4bSX,translat comput write articl english,0
134,3EjA3fuWrzb9aKIdPjGK2z,translat articl write french english,0
135,Gd2rwRvZBJ8xQakCjGMDl,translat read articl english,0
136,9FKxB1Z1sa689zUnfxMo3B,translat read articl english,0
137,2VtkZeTFX3L9FLJIwep6bI,translat translat articl arab english,0
138,3whOtWugTQD9PEYssWCra7,translat decid becom doctor english,0
139,863cPdHAwxM6jrpWi7Kx5h,translat doctor english,0
140,8yDGFEId9zC9J5b6jWEiXY,translat task much english,0
141,79cfNQucdqR9l6Lm4XhKpQ,translat could easili solv task english,0
142,738Cr1GCEP49iUi8HnYTQ3,translat want give english,0
143,2pXzMgU5xZH9y5Mlr1tFS4,translat newspap larg edit english,0
144,7XOLcCX9H5W8l8aETO1gGX,translat mistak essay english,0
145,62HICEhR1sK6bT8gDgzzkI,translat old man blind eye english,2
146,1dxt2rW5BSQ8iLFIvlsExo,translat sand eye english,0
147,aJsqPyUd9InaAF4SOj0z0B,translat eye take care heart english,0
148,2NJsgQEIjJQ7TULpMozCyd,translat eye hurt english,0
149,2JmiuY3H00s7KurVGUjwwA,translat similar express french english,0
150,aFtcB6e1XSKamsPzZYTTBO,translat express mean context english,3
151,2SvLuio6AlL5V2q7XMFOod,translat spend money earn english,0
152,5G4iA5xgmbT8mZI5gL35GC,translat borrow car english,0
153,1CpKXSaT8uY6kOUILEEAqV,translat borrow car english,0
154,1XIEegpxpeo5Kd1rFXvYEO,translat mani book borrow time english,0
155,2Euo5WsJi5D5Ud4n9QL89B,translat import english,0
156,1xKZgPaBlPsapUmouTzuZq,translat larg select fruit supermarket english,0
157,2fd2bEiRXlC5TpTCPiGvef,translat author nice style english,0
158,9pNfo56cP8n8P5yxcKdePs,translat babi stop scream english,0
159,3VuuoeU3MVV7zGdDRIs2Yu,translat babi sleep deepli firmli english,0
160,6fyE0CZX57F9oWwxdL5V72,translat babi wake middl night english,0
161,aNo0Vc3M5RLaHlfFOv92p3,translat sleep babi english,0
162,Z7XGAQVItb6RHRDpEoOL5,translat give birth healthi babi english,0
163,9CRQwA02WE97kL7WGBnC7n,translat take hot bath switch tv english,0
164,3FYigAOOHYja0DyawKR3l4,translat alreadi take bathroom takashi english,0
165,Vn99qWpOWGaVsoZSkC7V6,translat take bath english,0
166,6sSl1NwMUMwal80v3nnGET,translat take bath almost everi day english,0
167,39F2sLPHte493osmUUVV0Y,translat practic live close train station english,0
168,7ySYPlY9zj28RgvoGihTEy,translat train station english,0
169,7Ks1kGHjbpq9KL42AlPJO2,translat next train station english,0
170,2SJzyco6q2a8KXsVEko5IT,translat bacteria multipli divis english,0
171,23GDKYWKkYV6EtJc45lHhX,translat cat play ball english,0
172,5h9awIGOtrK89xuAuXw1rr,translat ball english,0
173,aJJVPDdcxXQ7YgQblDIngD,translat banana yellow english,0
174,3bg53tmUbUL7ghc0YnQURi,translat eat banana english,0
175,V2lGMV9xar6MerL0KV6H1,translat eat banana english,0
176,1lqAy1JrEmf6DQhE4SfgBi,translat easili find bank english,0
177,aAdhFihRwCUaoNSUn3yV48,translat bank english,0
178,7mWRsp2zZNd9JDhaiSDrtM,translat work bank english,0
179,QH17czdtDf7qdO5LomcPH,translat bank tree english,0
180,1G3cU96xT406rDBe9RXqvr,translat paint bank red english,0
181,6fWFTlwHbNe8ZAAkw21GN6,translat want pay cash english,0
182,596WDZdWc1X7tggFUrhhM7,translat boy play basebal english,0
183,7ITnctAFbTk9FWeiqfmXHV,translat interest basebal english,0
184,9fRbalhkhsP6M7cPZKy5G9,translat play basebal english,0
185,2qjHZDKvS7j5QOxTlxgTwS,translat basebal english,0
186,5wuznrgH6Em9mF0A4VntPE,translat mike play basketbal english,0
187,8UgZ1bMvz798fQfSv23jKi,translat play basketbal english,0
188,3R9UH6cuCG46g0RemDHZLX,translat grow rice english,0
189,42fF4LfzZ225HS6hiVVzaD,translat build wall english,0
190,3PWSNsM3Rgg6oOYIhqokrV,translat farmer smile english,0
191,8UWHXHQylhY7qhz9rITmIy,translat farmer know eat english,0
192,5bG0oOEDdN4aifkqwUc8Q2,translat tree old english,0
193,6zgOsbf0aFm5AOlGiKSrhv,translat tree english,0
194,7COUUUJHoQ37uAvXkRc8EP,translat plant tree english,0
195,8CxHtuRhGTZ7ffDlz1EXC5,translat pick appl tree english,0
196,7k9SyTuQbGL5Tz58WeH6Sb,translat limit languag mean limit world english,2
197,3xDAVb6XTwHavSJ5KJ4nz2,translat sentenc basic mean everyth english,1
198,jbVpsvDERJ9H72coj2D0U,translat mean english,3
199,aaCSimvhtyda0JcHwNhbk9,translat mean sentenc unclear english,1
200,9YUXS86bUMJapR6JgwbIFT,translat ye mean english,2
201,1WppWXBUwQB99eNtrITCtD,translat word rare mean english,2
202,8183ifn7P2x8GV9CoE7m0n,translat accept condit english,0
203,54LZXORfBJo7xukajs2nof,translat naiv easi impress english,0
204,4lgDkE60mFe6cUTL0oEkI8,translat want impress english,0
205,eUPBrBIfqp7KeouooRLvT,translat plan start english,0
206,5seyDsjO5JO8ziexFoVuRq,translat start five english,0
207,ajT9gezHfW06EUIRo0JYsc,translat accompani english,0
208,7wJfnjQzmwcabrqF6FJ0QT,translat buri dog pet cemeteri english,0
209,13c7Kvkm3XA6KRNfjo0Wbe,translat doctor wrong leg english,0
210,2s1jSgC2nFc6MxqViT2WB4,translat pain right leg english,0
211,DZNA9pFWLL7r7kQlARNJN,translat dog bite leg english,0
212,3lr1ZeVsuyE6JWjdbK559N,translat lose leg english,3
213,5uK1ZtM2bpna15nB1lHSod,translat interest exampl english,0
214,4s8Al8iUEvM7OYPyKTMlOe,translat eugen receiv nobel prize contribut literatur english,0
215,7BESpFFTdAX8Wgqb4vHThL,translat everyon contribut someth english,0
216,abEDm0m4HCSaHd48vsPzuW,translat want insult english,0
217,7kWwOuxLKCcaAApToX2dEN,translat behavior alway honor english,0
218,D29UMzfb2N6Qc3AwCfjbO,translat need help english,0
219,8ziA9gkfFaS9jEN4oI147d,translat need intern languag english,0
220,4Hxh2X2VCnya179P3f2sxB,translat need help english,0
221,9CtmMqhuqhG9IHJ0hju8YL,translat need help english,0
222,ajH6zEq9C0K9NlMoj5prV4,translat need support english,0
223,1BK3wvJN1iV8hCqPx8JHFP,translat run petrol english,0
224,NFjZFecgiZ6TZ0ZTt1xa6,translat long gasolin english,0
225,3cxMDBWsbsGaeuGy8ksIyq,translat advis well english,0
226,4WnUilpxA9K5L8bYguNJEs,translat advis sister english,0
227,7P4DANoTfzM69ZTW8OQTX2,translat mani monkey mountain english,0
228,6TwaaiPuTSA8QNd1peprxj,translat sun behind mountain english,0
229,5UNa7GwQ85Qa5uTxuz7crp,translat pretti riski profess english,0
230,3aPyDiFFLsM9UmzDijsoGO,translat profess english,0
231,qmXAxbDGwaAJRMTAx9Ie,translat protect english,0
232,5Pdg54Aeie18YFwqXuylJ7,translat can not protect english,0
233,1oIv5PGOTut7XSCWpuIIQd,translat protect english,0
234,4CnVzYDLBMl6mjgncRPEO5,translat help complain english,0
235,nMjLrtGHOW6k6ZsxtqFHC,translat want complain english,0
236,1KzItk0jPoJ8rQNsskP7Ug,translat custom never complain english,0
237,1rKKxlIInqm8hiYhiKLxF1,translat car english,0
238,8E48tnqaG789WgoNa5QaRF,translat happi possess mani thing english,0
239,17enUA6MSwI86D5QoNM65x,translat except confirm rule english,0
240,4qYZCztHXQX8TcJjw0LvmO,translat confirm english,0
241,3VYKZCESWCPajgZxBGBowi,translat someon confirm stori english,0
242,9LCfy3F8mxY9YaA5yZMQDa,translat coin metal english,0
243,4zk7SwbHJNT8UBbIjXLlZB,translat candid pass exam english,0
244,5squtglwZVbaEbR9atJO8x,translat want punish english,0
245,9eVJukXagqq6AOQahiFzqi,translat visitor sit live room english,0
246,5dDPXa5ma0U9tDqVhzphCs,translat particip agreement english,0
247,8aa2ebRFs0k5VI7Va2DM61,translat pray japan english,0
248,9mOMkcbC2y27uJoTplSZAh,translat phone order english,0
249,5UZclGYur5Y6Kbm4m9ONry,translat elev servic today english,0
250,2ZKaIvcyNQc7RqgzrpO4l7,translat refriger oper english,0
251,7wEsYMJDi7E7Od2pPSGOVM,translat bed week english,0
252,im2v9YDif68sQe393eni3,translat ten bed english,0
253,7zZdRH6Oj0K7Au4oI9uVYt,translat spend bed day english,0
254,82sdxfyyceM9RaAHcMxcBN,translat still bed english,0
255,4xdj6L8TQ165E50uhhgx2F,translat proof english,0
256,94hck44iOg466zd0xxQgOm,translat proof english,0
257,6489UW9fMFk87AO5nyWQmz,translat prove english,0
258,aNTCZdFf9hW8DEGYi058Ut,translat prove english,0
259,1Mgk55i6YTh8ZSWgp1XO8H,translat end relationship english,0
260,8fZfHzAkN5y8jUIUHLOBQ3,translat librari citi center english,0
261,1yO06uSMcdj7ROMOlqSRXG,translat librari english,0
262,afT9hLFwm4N85Joi0QouI4,translat librari english,0
263,94tfnGB5y1H7obUJdIfyLv,translat stab bee english,0
264,9DSb0YzQXAN7PKGOH6mSM8,translat order beer english,0
265,578BgMSWupj9u3P9Gzxy22,translat beer wine english,0
266,9c8a3xo9UGZ7PKmJmJFaYL,translat beer wine english,0
267,aW1X8eF8Xc87NArOOacU1Z,translat draw pictur english,0
268,57HbgDSRNfm7aMimynDjFs,translat picasso paint pictur english,0
269,7SGOEYpS4VQ7mtwDL4piIS,translat draw pictur english,0
270,9qfQZ0G4TpH8hv8B3TIg2X,translat alway hate biolog english,0
271,9hpF7fq8VsRaIahCjZDutX,translat speak bit chine english,2
272,aZ0bPchsurN7BGMNi5gC6Z,translat talk bit spanish english,0
273,9OCJ1Pk9vS19Kw8LzZA8jA,translat father bite old fashion english,0
274,8tKN0lsv1XV5YaZTNGk8kR,translat lose bit english,3
275,7ArKqX8jjzO7hXtMs8Q5TY,translat dri sheet fall ground english,0
276,nQ6lkx675g8hcZkmHyAJr,translat stay home tomorrow english,0
277,6J72GjMnZm284Wrho68olC,translat plan stay hotel english,0
278,6OVjeJ2R7FB5PwBDpbFBKv,translat need stay english,0
279,4l8QYdC51jr5Y6EjwmV7Ri,translat long stay english,0
280,3ylP5r0lSbU6MK776zXLNn,translat pencil english,0
281,6Ih76XgOQ9a99DbEa2NCsR,translat forgot pencil english,0
282,9kVchsY8I5s8lNxWnkXIC9,translat long pencil english,0
283,41cyUBNuI865BKtwcvzxUH,translat flower tabl english,0
284,6prtNHu0zSs6Ngj3mA3R19,translat flower english,0
285,4KvtWWdJmOj93Qd0fECz2x,translat blood light red english,0
286,5lOeK6n256P7L1e1US3v6C,translat blood red english,0
287,2KO9ICLsLJT6Eqglg3Y4zi,behav build earthquak,2
288,4DKHXxkvaF762VkVZhc7kq,gener name also give natur satellit,2
289,4pXoyTaEFlJaVwAypNUXcg,gener term sand carrot leek bean,2
290,fq0rtjwXs79bZKorNNJxs,battl waterloo,3
291,4B8o2bX7SnWaIJ1sT9rgxU,translat follow sentenc live larg hous,1
292,5Sd5fUI3uUGaAsY0rCMGGE,translat follow sentenc english basel footbal club becom swiss champion,1
293,4VGrQMsi4Lf6HJR9cpYwXt,translat love german,2
294,237N5aRBw2o9tcBRQYJQ50,translat follow sentenc english boy eat appl,1
295,7Vr7wY5XITpalEJbJqyMKD,translat follow sentenc english boy eat appl,1
296,1oofeqGDvMD9NxDJTxbdLP,translat follow sentenc english boy eat appl,1
297,2a02FWbN3fo6HVXX7RXAax,translat follow sentenc english bitmark hackathon simpli awesom,0
298,870VWoRALxZahUqPFQEgSJ,translat thirsti english,0
299,8DGf8udouc8aLKZudMyk1F,translat follow sentenc english boy eat appl,1
300,3CLiDdktFuUaxVJHPcB0Wf,translat follow sentenc english boy eat appl,1
301,3Vwo0y1qB4w8SD4EVuEp2s,translat follow sentenc english boy eat appl,1
302,9rCKEPSSaOp7G7DlM1pJJX,write hear english,0
303,7n1zXhsIUrp9zbrQsaWSTb,translat sentenc order dinner,1
304,2rATYMv4oi86OVHf70vB81,write hear english,0
305,4JjY5lxI6DN7ZZQBea6vYe,write hear english,0
306,18nxa5Mkihza9KiLzl60Lj,translat sentenc author nice style,1
307,2BcrQMrzGkP7BqrNIaHvmR,write hear english,0
308,7tGByzBuieXa5neEFykxw9,write hear english,0
309,1z4E89TgHSz9UGddtnQxBs,write hear english,0
310,2eEIscvJrK48V6xWfPg0lI,translat sentenc fairli riski profess,1
311,3xR2maFYzzK92jtQFpftV9,write hear english,0
312,50ukobAkVAD6skno4tMJ48,translat sentenc offic nearbi,1
313,8jzjALdq9Pk7Pjc1yRfqgc,write hear english,0
314,6C3hIShVtFc5y9q53aK8HB,write hear english,0
315,5l7rPyzlok49AGNoIzQLTc,write hear english,0
316,9QJBSYMcO6R8FBEtCaDoPi,translat sentenc captain control whole ship,2
317,5qMAkLb47xJ8LmJqOqfkQl,write hear english,0
318,3Ni8KNyirNHa6J5UY0fwDj,translat sentenc dentist,1
319,9p3ySDQHqFg6c3SqwKxw8Q,write hear english,0
320,9qdlTZc3IOH5OhXWdy5DVp,translat sentenc chang,1
321,5peSXa7DKne6fGU2Go6xuQ,write hear english,0
322,9qAdYATcooU9jAKRthtRnL,translat sentenc limit languag mean limit world,2
323,8gMM2RMhYDq7fGOLvf43Qf,write hear english,0
324,aGs8timT8jB77tim2PSXfi,translat sentenc pray japan,1
325,3v4yM9Ls5rH9cV7qFLr3OW,write hear english,0
326,6hZWVvDdlsw8IRkKNcLf7W,translat sentenc stay home tomorrow,1
327,1DPXFYgk223a3wx9vuFh1E,write hear english,0
328,4mBFymZpomf9VGsE7A37VX,translat sentenc think everyth,1
329,xgLGuVI9ke88RDCSGYqri,write hear english,0
330,7GQAFt6TAcHaTpOMPoN511,translat sentenc parent expect much,1
331,2Pp6X7DHo2w7GTXy5deqIj,write hear english,0
332,2qVe1xOLm7r7u20NFxyIig,translat sentenc bird fli,1
333,36VyTcSJqNwaNV3GowI3KY,write hear english,0
334,6Dtyx35vs7L8Rhv0QRWeqw,translat sentenc christian believ jesu christ,1
335,8kTAnxIcDaw70lG8CmjxlJ,write hear english,0
336,6bTyn069lmn7Wk4GuqrIXr,translat sentenc carrot cost dollar,1
337,3ia9DbCueeG7sJ2R5PH8GA,write hear english,0
338,8LRv23QYIil6uRa6NnjHDI,translat sentenc fish live sea,1
339,8U6CTZh4FP46cWirE6JYbw,write hear english,0
340,aGCau04yq9vaI295VcWVWy,translat sentenc rule appli foreign,1
341,auVRwPrkr4r7hFv6VJWL3i,write hear english,0
342,2r5bZQDgLje8dFi9VGz3HA,translat sentenc large brother,1
343,5kXqjCoQ8Cf6N6w8Sz6H2c,write hear english,0
344,9Pgg0EH9cqJ91Gz3x1OpSp,translat sentenc young peopl speak almost russian anymor,1
345,3vZkbLAnQyE7xmvm7flAaL,write hear english,0
346,2N0TX5Davwu64oQBpueJLi,translat sentenc long wear glass,1
347,5OaLH2akFXm7BfHnNyE5Dh,write hear english,0
348,1Rap5L1Fksq8PngQ349sEn,translat sentenc earn twice much,1
349,3frlfiu2omu9MDbWflCF7u,write hear english,0
350,aqeEnb0njSqahJfm6okTXL,translat sentenc understand,1
351,4C2lLdteqFlaR6AlQrVavF,write hear english,0
352,9zLvNMpU03F9jO6pQcQrwC,translat sentenc flower grow warm countri,1
353,a9JGrf1UsJq5xmTt7KSWJW,write hear english,0
354,3I8zTxp4joS9OJAdYGNAWm,translat sentenc want work metro,1
355,2UydCH4H06a2By3OAF9uZ,write hear english,0
356,16xcc0TbvVB9omhygR1xCj,translat sentenc pay card,1
357,35ZDBxjESUe6G2cNVXYRmt,write hear english,0
