taskId,language,description,topic_id,word_count,sentence_count
954,2HXatST9nZb6pCE7sJuWBr,EN,content belong klett und balmer verlag find inform product digion ch love edinburgh first visit edinburgh child parent sister think magic citi special atmospher small enough around easili feel lose big enough lot leave school decid univer good decis wonder time local realli friendli time even start understand edinburgh accent fact love edinburgh much stay univer first live work citi meet husband true scotsman move countrysid nearbi work home busi love drive citi weekend mini last week parent stay visit edinburgh castl scottish nation galleri day take child zoo anoth day take boat inchcolm abbey nearbi island day picnic lunch princ street garden love mani differ thing edinburgh citi realli becom home imagin move away answer question full sentenc carolin move edinburgh move edinburgh studi love citi,,127,19
955,4XqgBukjnrj5Ky0GUL8Isw,EN,write hear john play cat,,5,1
956,3786WSi5Nn58r5VZESlFst,EN,write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,,15,3
957,7GFPO0ukS7t7ejAs1Y2nix,EN,translat sentenc english write present simpl homer work nuclear power plant,,11,1
958,5aAMWr5wtut7HshyySFiwn,EN,translat follow sentenc english tim live blue hous,,8,1
961,aqdN5okrn7v96q2pZ6draC,EN,event earthquak build give recommend test feedback write someth run around scream,,12,3
965,9gUaAflhOOM8boMxbfwUKf,EN,speech feder presid ogi strongli structur addit introduct end speech divid main part topic hold topic main part,1.0,18,3
966,7TYOlb7BQz66WlJXyI4XxN,EN,present text publish similar stori antholog busi class extent collect titl also appli educ schnurig,1.0,15,2
967,85J5YDDsQFt9lCuygZwIOV,EN,final sentenc cri jeno text martin suter assess variant regard plausibl stringenc text effect alec relea alec want share chocol bad bellyach,1.0,22,6
968,Zqyme9ks3LawmypFAc0Wm,EN,quot passag text show ratio gustav schnarwer famili,1.0,8,1
969,5zJ9PCGtPjN5LHnh4fp6LI,EN,interpret titl pedagogu schnurig keyword,1.0,5,1
970,2ZW78UEN6i95yZYthoNKFw,EN,triangl abc give describ construct area triangl abc,1032.0,8,2
971,4vYuDvuEtAP6bgwgMyidhX,EN,name stylist devic first paragraph ask alec schnurig want shot cannon gener manag gustav schnurig gener manag proudli laugh ask laugh carla schnurig housewif mother shake head jeno schnurig ask gener manag high repli alec adult laugh,1.0,37,5
976,1Gs0VtDQxPH9WO8W15Revx,EN,describ imag,,2,1
981,aMnKVp4XSra33C9zSsDIR,EN,could cat situat could speak write sentenc test feedback write someth play,5145.0,12,3
982,2hVjXIPswXaaxcD8sqe6WU,EN,translat sentenc english write present simpl homer work nuclear power plant,5145.0,11,1
983,4AUaLoTasUk86ezdbK3d7q,EN,student answer task evalu grammar spell plan weekend write sentenc,5145.0,10,3
984,8kVrscmjkny6CtVtjsqO30,EN,put word order put word correct order sentenc commun never enemi groom,,12,2
985,8FV1FHxBMDF8vnTy6FtguO,EN,activ passiv band sing song queen song queen sung band,,10,2
986,8CHf6OTOwiM7b44ADOwK6P,EN,negat sentenc sentenc carolin true correct neg sentenc exampl carolin studi glasgow solut studi glasgow studi edinburgh understand scottish accent begin,,21,6
987,6k8QjfUF2b472CVTPitx8q,EN,student answer thi task evalu grammar spell addit ten keyword write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,5145.0,25,4
996,7YXAOXqXKk65WRBjKEmL0P,EN,mani reindeer santa clau name,,5,1
1104,aRzlzAymuLD5NJdfqyfMNE,EN,contain subsystem must regener period altern describ regener process answer sentenc,,11,3
1109,3eFwaoVZANA7mLeCSUdt8J,EN,highlight keyword appli bob,,4,1
1110,89EvLiSfvcb6YEF5S6wSyI,EN,ko column mixtur separ atmospher pressur describ process run ko column procedur answer sentenc,,14,3
1136,8kr659BCDps8XfAdE4DYQR,EN,put word correct order sentenc usual remov piec skin hand,,10,2
1137,PrboJKJLSM6Ok9R2YeF4t,EN,put word correct order sentenc groom anoth chimpanze lip tooth sometim,,11,2
1143,3zHah3WHaBL69lxjz0xPdA,EN,translat watch far last night english,,6,2
1144,7dgOqVF3wM07eiRRzsTEYV,EN,translat order dinner english,,4,2
1145,9yd745wscDf9ERA8P2pfhW,EN,translat noth dinner english,,4,2
1146,6ZsjZ1Fpkk76aNTpKZucfx,EN,translat want dinner english,,4,2
1147,22BFD78ilPM8TchKxPNRFF,EN,translat current dinner english,,4,2
1148,50vh0FAZ3TDaHo84QdFocv,EN,translat life full adventur english,,5,2
1149,a8fhbpOctnB81BMgXtazcU,EN,translat refu english,,3,2
1150,20A4Hx4UDtf8CLvEdGBbCn,EN,translat purpos english,,3,2
1151,7DSzCegF1Gz9C7jXDbf0ae,EN,translat certainli purpos english,,4,2
1152,SsFyvivPiXa3xCGUqNzhy,EN,translat intend marri english,,4,2
1153,4iiM8cAHjYH75flvADkcFR,EN,translat purpos english,,3,2
1154,4WQPpjZzXl05Tdu6W5xxVt,EN,translat intend apolog english,,4,2
1155,7FH3sCf1EL78jEz8orF9ab,EN,translat wife want adopt child english,,6,2
1156,4YROUyqd8jj7fi3DT8SnHu,EN,translat monkey fall tree english,,5,2
1157,8IRZQCLrsBh9uuBth2dbc3,EN,translat monkey run away english,,5,2
1158,f5FBKIiyFd7QCzbq4GgKP,EN,translat nightmar english,,3,2
1159,50hyowIp3hd7pHJnrWGCla,EN,translat show album english,,4,2
1160,a2EFy1quyXd6bb286NW5Qb,EN,translat allow drink alcohol english,,5,2
1161,6K4ImkCIaj08kpmj1XbVws,EN,translat drink without alcohol english,,5,2
1162,8ZITtwQdx9G9AKb7jyIPS3,EN,translat drink alcohol english,,4,2
1163,9Wm7IWwrNhRayy5g2gj6rA,EN,translat drink alcohol english,,4,2
1164,17aU9nWh0eLag81mXI2h3O,EN,translat aver alcohol english,,4,2
1165,8PqBcI1KZWl8Mtq0B8FxL4,EN,translat live osaka age english,,5,2
1166,aAkIziPCaJX7lPIBr9JQwY,EN,translat marri age english,,4,2
1167,3zGud8VQ8yNaycnVTBNazJ,EN,translat age son english,,4,2
1168,acmZVlmedq577WAV5BInIC,EN,translat altern english,,3,2
1169,1oTr9NmVjOc7V9UGrEs4ah,EN,translat jane seem fun parti english,,6,2
1170,6hmk7XLEG7361cQCL6t3Wb,EN,translat offer someth drink english,,5,2
1171,7EkwqUuuM7L71QhYSquY9C,EN,translat chang english,,3,2
1172,3lriGJFEm9W8W71JHWyfDX,EN,translat time chang english,,4,2
1173,5flo6UARSgZ8n2lBBqtBn1,EN,translat chang attitud english,,4,2
1174,2whKClfmekVaHLvKfAiPVa,EN,translat mayb price chang english,,5,2
1175,aKyigEtilsvaz9cxURMjNY,EN,translat stupid accept offer english,,5,2
1176,51vgitPthWZ7rU5CTzq5VV,EN,translat accept offer english,,4,2
1177,22UHAQsTne57THcsK0NPCi,EN,translat accept offer english,,4,2
1178,9MpZ9PyNope91FHJ6hDVrI,EN,translat accept offer english,,4,2
1179,2tXp4qsxJtY5AN7ivJqsVE,EN,translat answer wrong english,,4,2
1180,5QMm78gBppxaJVq91HE6i5,EN,translat find answer english,,4,2
1181,aS38m2r9A37aEFQXHdmakv,EN,translat respon english,,3,2
1182,1zeg3zMm9df7GMEk4S1mUH,EN,translat know answer english,,4,2
1183,aCD2v49jXCD7FKmZex0H8I,EN,translat answer right english,,4,2
1184,6QkSj5tcnin7Hqbix7qbxW,EN,translat answer question english,,4,2
1185,2r2SYFcYe9N6mNTHUlcK8f,EN,translat need lawyer english,,4,2
1186,8KAr1JaOTRu8nGNYfn9Vww,EN,translat appl yet ripe english,,5,2
1187,2PqNTcM5pSPav1Hou9ZWcW,EN,translat eat appl english,,4,2
1188,WCz20kHwET8k3MVbqppy6,EN,translat appl english,,3,2
1189,BQF0srBMWT7Gzo7BZ2uzK,EN,translat appl desk english,,4,2
1190,63LwneDO7eg8AK3biY87MO,EN,translat appl tast english,,4,2
1191,a9LEBCdqQ1T7bSqECtwYJb,EN,translat job english,,3,2
1192,7eAdNIMwTdZ8bNDzMdsKNi,EN,translat satisfi work english,,4,2
1193,66WZeewVaQUapMbr4L8zqc,EN,translat tire work english,,4,2
1194,94XarI5tWg871T4PHzFaq0,EN,translat work english,,3,2
1195,7QYKkjMFgIs6pLnqer8efv,EN,translat must complet work four clock english,,7,2
1196,48PYN7qDGQA88NvuCHTt7f,EN,translat continu work english,,4,2
1197,55935gEnVks6d5pwpkPcfP,EN,translat drive work car english,,5,2
1198,62XXodCNboB9Cyi11h9FbL,EN,translat alreadi find work english,,5,2
1199,g2dXexhLZjaE28QsnLCfW,EN,translat work never stop english,,5,2
1200,797sy1iQXSt8BJYZq96yLR,EN,translat work english,,3,2
1201,4dylAImdwEVa6pPjZkhMUo,EN,translat person work english,,4,2
1202,63YBIHhkCW38OC9yqetsjl,EN,translat want work factori english,,5,2
1203,4YrjGF9DmAX6HVSsVxBnST,EN,translat pretend work english,,4,2
1204,7NnuagJq9QP9YdCJJbnutO,EN,translat work english,,3,2
1205,azUng1lvtHdaD9eXmHM7uQ,EN,translat need worker english,,4,2
1206,1GVHJpYzrqt9ya6Zp92WoT,EN,translat realli hardwork worker english,,5,2
1207,pwS6KHkC5ya2O14CH4bSX,EN,translat comput write articl english,,5,2
1208,3EjA3fuWrzb9aKIdPjGK2z,EN,translat articl write french english,,5,2
1209,Gd2rwRvZBJ8xQakCjGMDl,EN,translat read articl english,,4,2
1210,9FKxB1Z1sa689zUnfxMo3B,EN,translat read articl english,,4,2
1211,2VtkZeTFX3L9FLJIwep6bI,EN,translat translat articl arab english,,5,2
1212,3whOtWugTQD9PEYssWCra7,EN,translat decid becom doctor english,,5,2
1213,863cPdHAwxM6jrpWi7Kx5h,EN,translat doctor english,,3,2
1214,8yDGFEId9zC9J5b6jWEiXY,EN,translat task much english,,4,2
1215,79cfNQucdqR9l6Lm4XhKpQ,EN,translat could easili solv task english,,6,2
1216,738Cr1GCEP49iUi8HnYTQ3,EN,translat want give english,,4,2
1217,2pXzMgU5xZH9y5Mlr1tFS4,EN,translat newspap larg edit english,,5,2
1218,7XOLcCX9H5W8l8aETO1gGX,EN,translat mistak essay english,,4,2
1219,62HICEhR1sK6bT8gDgzzkI,EN,translat old man blind eye english,,6,2
1220,1dxt2rW5BSQ8iLFIvlsExo,EN,translat sand eye english,,4,2
1221,aJsqPyUd9InaAF4SOj0z0B,EN,translat eye take care heart english,,6,2
1222,2NJsgQEIjJQ7TULpMozCyd,EN,translat eye hurt english,,4,2
1223,2JmiuY3H00s7KurVGUjwwA,EN,translat similar express french english,,5,2
1224,aFtcB6e1XSKamsPzZYTTBO,EN,translat express mean context english,,5,2
1225,2SvLuio6AlL5V2q7XMFOod,EN,translat spend money earn english,,5,2
1226,5G4iA5xgmbT8mZI5gL35GC,EN,translat borrow car english,,4,2
1227,1CpKXSaT8uY6kOUILEEAqV,EN,translat borrow car english,,4,2
1228,1XIEegpxpeo5Kd1rFXvYEO,EN,translat mani book borrow time english,,6,2
1229,2Euo5WsJi5D5Ud4n9QL89B,EN,translat import english,,3,2
1230,1xKZgPaBlPsapUmouTzuZq,EN,translat larg select fruit supermarket english,,6,2
1231,2fd2bEiRXlC5TpTCPiGvef,EN,translat author nice style english,,5,2
1232,9pNfo56cP8n8P5yxcKdePs,EN,translat babi stop scream english,,5,2
1233,3VuuoeU3MVV7zGdDRIs2Yu,EN,translat babi sleep deepli firmli english,,6,2
1234,6fyE0CZX57F9oWwxdL5V72,EN,translat babi wake middl night english,,6,2
1235,aNo0Vc3M5RLaHlfFOv92p3,EN,translat sleep babi english,,4,2
1236,Z7XGAQVItb6RHRDpEoOL5,EN,translat give birth healthi babi english,,6,2
1237,9CRQwA02WE97kL7WGBnC7n,EN,translat take hot bath switch tv english,,7,2
1238,3FYigAOOHYja0DyawKR3l4,EN,translat alreadi take bathroom takashi english,,6,2
1239,Vn99qWpOWGaVsoZSkC7V6,EN,translat take bath english,,4,2
1240,6sSl1NwMUMwal80v3nnGET,EN,translat take bath almost everi day english,,7,2
1241,39F2sLPHte493osmUUVV0Y,EN,translat practic live close train station english,,7,2
1242,7ySYPlY9zj28RgvoGihTEy,EN,translat train station english,,4,2
1243,7Ks1kGHjbpq9KL42AlPJO2,EN,translat next train station english,,5,2
1244,2SJzyco6q2a8KXsVEko5IT,EN,translat bacteria multipli divis english,,5,2
1245,23GDKYWKkYV6EtJc45lHhX,EN,translat cat play ball english,,5,2
1246,5h9awIGOtrK89xuAuXw1rr,EN,translat ball english,,3,2
1247,aJJVPDdcxXQ7YgQblDIngD,EN,translat banana yellow english,,4,2
1248,3bg53tmUbUL7ghc0YnQURi,EN,translat eat banana english,,4,2
1249,V2lGMV9xar6MerL0KV6H1,EN,translat eat banana english,,4,2
1250,1lqAy1JrEmf6DQhE4SfgBi,EN,translat easili find bank english,,5,2
1251,aAdhFihRwCUaoNSUn3yV48,EN,translat bank english,,3,2
1252,7mWRsp2zZNd9JDhaiSDrtM,EN,translat work bank english,,4,2
1253,QH17czdtDf7qdO5LomcPH,EN,translat bank tree english,,4,2
1254,1G3cU96xT406rDBe9RXqvr,EN,translat paint bank red english,,5,2
1255,6fWFTlwHbNe8ZAAkw21GN6,EN,translat want pay cash english,,5,2
1256,596WDZdWc1X7tggFUrhhM7,EN,translat boy play basebal english,,5,2
1257,7ITnctAFbTk9FWeiqfmXHV,EN,translat interest basebal english,,4,2
1258,9fRbalhkhsP6M7cPZKy5G9,EN,translat play basebal english,,4,2
1259,2qjHZDKvS7j5QOxTlxgTwS,EN,translat basebal english,,3,2
1260,5wuznrgH6Em9mF0A4VntPE,EN,translat mike play basketbal english,,5,2
1261,8UgZ1bMvz798fQfSv23jKi,EN,translat play basketbal english,,4,2
1262,3R9UH6cuCG46g0RemDHZLX,EN,translat grow rice english,,4,2
1263,42fF4LfzZ225HS6hiVVzaD,EN,translat build wall english,,4,2
1264,3PWSNsM3Rgg6oOYIhqokrV,EN,translat farmer smile english,,4,2
1265,8UWHXHQylhY7qhz9rITmIy,EN,translat farmer know eat english,,5,2
1266,5bG0oOEDdN4aifkqwUc8Q2,EN,translat tree old english,,4,2
1267,6zgOsbf0aFm5AOlGiKSrhv,EN,translat tree english,,3,2
1268,7COUUUJHoQ37uAvXkRc8EP,EN,translat plant tree english,,4,2
1269,8CxHtuRhGTZ7ffDlz1EXC5,EN,translat pick appl tree english,,5,2
1270,7k9SyTuQbGL5Tz58WeH6Sb,EN,translat limit languag mean limit world english,,7,2
1271,3xDAVb6XTwHavSJ5KJ4nz2,EN,translat sentenc basic mean everyth english,,6,2
1272,jbVpsvDERJ9H72coj2D0U,EN,translat mean english,,3,2
1273,aaCSimvhtyda0JcHwNhbk9,EN,translat mean sentenc unclear english,,5,2
1274,9YUXS86bUMJapR6JgwbIFT,EN,translat ye mean english,,4,2
1275,1WppWXBUwQB99eNtrITCtD,EN,translat word rare mean english,,5,2
1276,8183ifn7P2x8GV9CoE7m0n,EN,translat accept condit english,,4,2
1277,54LZXORfBJo7xukajs2nof,EN,translat naiv easi impress english,,5,2
1278,4lgDkE60mFe6cUTL0oEkI8,EN,translat want impress english,,4,2
1279,eUPBrBIfqp7KeouooRLvT,EN,translat plan start english,,4,2
1280,5seyDsjO5JO8ziexFoVuRq,EN,translat start five english,,4,2
1281,ajT9gezHfW06EUIRo0JYsc,EN,translat accompani english,,3,2
1282,7wJfnjQzmwcabrqF6FJ0QT,EN,translat buri dog pet cemeteri english,,6,2
1283,13c7Kvkm3XA6KRNfjo0Wbe,EN,translat doctor wrong leg english,,5,2
1284,2s1jSgC2nFc6MxqViT2WB4,EN,translat pain right leg english,,5,2
1285,DZNA9pFWLL7r7kQlARNJN,EN,translat dog bite leg english,,5,2
1286,3lr1ZeVsuyE6JWjdbK559N,EN,translat lose leg english,,4,2
1287,5uK1ZtM2bpna15nB1lHSod,EN,translat interest exampl english,,4,2
1288,4s8Al8iUEvM7OYPyKTMlOe,EN,translat eugen receiv nobel prize contribut literatur english,,8,2
1289,7BESpFFTdAX8Wgqb4vHThL,EN,translat everyon contribut someth english,,5,2
1290,abEDm0m4HCSaHd48vsPzuW,EN,translat want insult english,,4,2
1291,7kWwOuxLKCcaAApToX2dEN,EN,translat behavior alway honor english,,5,2
1292,D29UMzfb2N6Qc3AwCfjbO,EN,translat need help english,,4,2
1293,8ziA9gkfFaS9jEN4oI147d,EN,translat need intern languag english,,5,2
1294,4Hxh2X2VCnya179P3f2sxB,EN,translat need help english,,4,2
1295,9CtmMqhuqhG9IHJ0hju8YL,EN,translat need help english,,4,2
1296,ajH6zEq9C0K9NlMoj5prV4,EN,translat need support english,,4,2
1297,1BK3wvJN1iV8hCqPx8JHFP,EN,translat run petrol english,,4,2
1298,NFjZFecgiZ6TZ0ZTt1xa6,EN,translat long gasolin english,,4,2
1299,3cxMDBWsbsGaeuGy8ksIyq,EN,translat advis well english,,4,2
1300,4WnUilpxA9K5L8bYguNJEs,EN,translat advis sister english,,4,2
1301,7P4DANoTfzM69ZTW8OQTX2,EN,translat mani monkey mountain english,,5,2
1302,6TwaaiPuTSA8QNd1peprxj,EN,translat sun behind mountain english,,5,2
1303,5UNa7GwQ85Qa5uTxuz7crp,EN,translat pretti riski profess english,,5,2
1304,3aPyDiFFLsM9UmzDijsoGO,EN,translat profess english,,3,2
1305,qmXAxbDGwaAJRMTAx9Ie,EN,translat protect english,,3,2
1306,5Pdg54Aeie18YFwqXuylJ7,EN,translat can not protect english,,5,2
1307,1oIv5PGOTut7XSCWpuIIQd,EN,translat protect english,,3,2
1308,4CnVzYDLBMl6mjgncRPEO5,EN,translat help complain english,,4,2
1309,nMjLrtGHOW6k6ZsxtqFHC,EN,translat want complain english,,4,2
1310,1KzItk0jPoJ8rQNsskP7Ug,EN,translat custom never complain english,,5,2
1311,1rKKxlIInqm8hiYhiKLxF1,EN,translat car english,,3,2
1312,8E48tnqaG789WgoNa5QaRF,EN,translat happi possess mani thing english,,6,2
1313,17enUA6MSwI86D5QoNM65x,EN,translat except confirm rule english,,5,2
1314,4qYZCztHXQX8TcJjw0LvmO,EN,translat confirm english,,3,2
1315,3VYKZCESWCPajgZxBGBowi,EN,translat someon confirm stori english,,5,2
1316,9LCfy3F8mxY9YaA5yZMQDa,EN,translat coin metal english,,4,2
1317,4zk7SwbHJNT8UBbIjXLlZB,EN,translat candid pass exam english,,5,2
1318,5squtglwZVbaEbR9atJO8x,EN,translat want punish english,,4,2
1319,9eVJukXagqq6AOQahiFzqi,EN,translat visitor sit live room english,,6,2
1320,5dDPXa5ma0U9tDqVhzphCs,EN,translat particip agreement english,,4,2
1321,8aa2ebRFs0k5VI7Va2DM61,EN,translat pray japan english,,4,2
1322,9mOMkcbC2y27uJoTplSZAh,EN,translat phone order english,,4,2
1323,5UZclGYur5Y6Kbm4m9ONry,EN,translat elev servic today english,,5,2
1324,2ZKaIvcyNQc7RqgzrpO4l7,EN,translat refriger oper english,,4,2
1325,7wEsYMJDi7E7Od2pPSGOVM,EN,translat bed week english,,4,2
1326,im2v9YDif68sQe393eni3,EN,translat ten bed english,,4,2
1327,7zZdRH6Oj0K7Au4oI9uVYt,EN,translat spend bed day english,,5,2
1328,82sdxfyyceM9RaAHcMxcBN,EN,translat still bed english,,4,2
1329,4xdj6L8TQ165E50uhhgx2F,EN,translat proof english,,3,2
1330,94hck44iOg466zd0xxQgOm,EN,translat proof english,,3,2
1331,6489UW9fMFk87AO5nyWQmz,EN,translat prove english,,3,2
1332,aNTCZdFf9hW8DEGYi058Ut,EN,translat prove english,,3,2
1333,1Mgk55i6YTh8ZSWgp1XO8H,EN,translat end relationship english,,4,2
1334,8fZfHzAkN5y8jUIUHLOBQ3,EN,translat librari citi center english,,5,2
1335,1yO06uSMcdj7ROMOlqSRXG,EN,translat librari english,,3,2
1336,afT9hLFwm4N85Joi0QouI4,EN,translat librari english,,3,2
1337,94tfnGB5y1H7obUJdIfyLv,EN,translat stab bee english,,4,2
1338,9DSb0YzQXAN7PKGOH6mSM8,EN,translat order beer english,,4,2
1339,578BgMSWupj9u3P9Gzxy22,EN,translat beer wine english,,4,2
1340,9c8a3xo9UGZ7PKmJmJFaYL,EN,translat beer wine english,,4,2
1341,aW1X8eF8Xc87NArOOacU1Z,EN,translat draw pictur english,,4,2
1342,57HbgDSRNfm7aMimynDjFs,EN,translat picasso paint pictur english,,5,2
1343,7SGOEYpS4VQ7mtwDL4piIS,EN,translat draw pictur english,,4,2
1344,9qfQZ0G4TpH8hv8B3TIg2X,EN,translat alway hate biolog english,,5,2
1345,9hpF7fq8VsRaIahCjZDutX,EN,translat speak bit chine english,,5,2
1346,aZ0bPchsurN7BGMNi5gC6Z,EN,translat talk bit spanish english,,5,2
1347,9OCJ1Pk9vS19Kw8LzZA8jA,EN,translat father bite old fashion english,,6,2
1348,8tKN0lsv1XV5YaZTNGk8kR,EN,translat lose bit english,,4,2
1349,7ArKqX8jjzO7hXtMs8Q5TY,EN,translat dri sheet fall ground english,,6,2
1350,nQ6lkx675g8hcZkmHyAJr,EN,translat stay home tomorrow english,,5,2
1351,6J72GjMnZm284Wrho68olC,EN,translat plan stay hotel english,,5,2
1352,6OVjeJ2R7FB5PwBDpbFBKv,EN,translat need stay english,,4,2
1353,4l8QYdC51jr5Y6EjwmV7Ri,EN,translat long stay english,,4,2
1354,3ylP5r0lSbU6MK776zXLNn,EN,translat pencil english,,3,2
1355,6Ih76XgOQ9a99DbEa2NCsR,EN,translat forgot pencil english,,4,2
1356,9kVchsY8I5s8lNxWnkXIC9,EN,translat long pencil english,,4,2
1357,41cyUBNuI865BKtwcvzxUH,EN,translat flower tabl english,,4,2
1358,6prtNHu0zSs6Ngj3mA3R19,EN,translat flower english,,3,2
1359,4KvtWWdJmOj93Qd0fECz2x,EN,translat blood light red english,,5,2
1360,5lOeK6n256P7L1e1US3v6C,EN,translat blood red english,,4,2
1364,2KO9ICLsLJT6Eqglg3Y4zi,EN,behav build earthquak,,3,1
1365,4DKHXxkvaF762VkVZhc7kq,EN,gener name also give natur satellit,,6,1
1369,4pXoyTaEFlJaVwAypNUXcg,EN,gener term sand carrot leek bean,,6,2
1370,fq0rtjwXs79bZKorNNJxs,EN,battl waterloo,,2,1
1371,4B8o2bX7SnWaIJ1sT9rgxU,EN,translat follow sentenc live larg hous,,6,2
1372,5Sd5fUI3uUGaAsY0rCMGGE,EN,translat follow sentenc english basel footbal club becom swiss champion,,10,1
1377,4VGrQMsi4Lf6HJR9cpYwXt,EN,translat love german,,3,1
1380,237N5aRBw2o9tcBRQYJQ50,EN,translat follow sentenc english boy eat appl,,7,1
1381,7Vr7wY5XITpalEJbJqyMKD,EN,translat follow sentenc english boy eat appl,,7,1
